"id","wave","country_name","iso_code","marital_status","num_of_children","rural_urban_living","age_category","education","gender","employment","trust_people","freq_rel_service_use","freq_internet_personal","freq_sports","freq_social_activities","vol_community_service","vol_education_cult_org","vol_social_charities","vol_political_parties","vol_other_organisation","volunteering_frequency","sei_left_out_soc","sei_life_is_complicated","sei_not_recognised","sei_looked_down","sei_feel_close_to_people","sei","mwbi_felt_cheerful","mwbi_felt_calm","mwbi_felt_active","mwbi_felt_fresh","mwbi_life_is_interesting","mwbi_felt_tense","mwbi_felt_lonely","mwbi_felt_downhearted","mwbi","wlbc_too_tired_household","wlbc_fam_responsibilities","wlbc_cannot_focus_on_work","wlbc","hrs_work_first_job","hrs_work_additional_job","work_hrs"
"AT9000784","2007","Austria","AT","Never married and not living with partner","0","A village/small town","25-34","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,NA,1.5,2,2,3,2,3,NA,NA,NA,72,4,4,5,1,40,NA,40
"AT9000827","2007","Austria","AT","Married or living with partner","2","The open countryside","50-64","Upper secondary education (ISCED 3)","Female","Other",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,5,NA,NA,2,2,2,2,2,NA,NA,NA,80,NA,NA,NA,NA,42,NA,42
"AT9001039","2007","Austria","AT","Married or living with partner","2","A medium to large town","50-64","Lower secondary education (ISCED 2)","Female","Employed (includes on leave)",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,1,1,3,2,3,NA,NA,NA,80,5,5,5,1,12,NA,12
"AT9000635","2007","Austria","AT","Separated or divorced and not living with partner","0","A village/small town","25-34","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,NA,4.25,1,1,1,1,2,NA,NA,NA,96,4,2,2,3,40,NA,40
"AT9000636","2007","Austria","AT","Separated or divorced and not living with partner","0","The open countryside","25-34","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,NA,4,2,2,3,3,3,NA,NA,NA,68,2,1,1,3,43,NA,43
"AT9001014","2007","Austria","AT","Married or living with partner","4","A village/small town","50-64","Lower secondary education (ISCED 2)","Male","Unemployed",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,2,NA,NA,5,3,4,4,4,NA,NA,NA,40,NA,NA,NA,NA,40,NA,40
"AT9000252","2007","Austria","AT","Married or living with partner","2","A city or city suburb","50-64","Tertiary education - advanced level (ISCED 6)","Male","Employed (includes on leave)",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,3,4,2,3,2,NA,NA,NA,64,2,2,4,2,52,NA,52
"AT9000772","2007","Austria","AT","Married or living with partner","2","The open countryside","35-49","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,NA,1.5,2,2,1,3,2,NA,NA,NA,80,4,4,5,1,38,NA,38
"AT9000398","2007","Austria","AT","Never married and not living with partner","0","A village/small town","18-24","Tertiary education - first level (ISCED 5)","Female","Student",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,2,3,4,2,2,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA
"AT9000405","2007","Austria","AT","Never married and not living with partner","0","A village/small town","18-24","Upper secondary education (ISCED 3)","Female","Employed (includes on leave)",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,2,3,2,4,4,NA,NA,NA,60,4,4,4,1,38,NA,38
"AT9000765","2007","Austria","AT","Married or living with partner","2","The open countryside","50-64","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Retired",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,NA,3.5,5,3,5,6,5,NA,NA,NA,24,NA,NA,NA,NA,40,NA,40
"AT9000075","2007","Austria","AT","Never married and not living with partner","0","A city or city suburb","18-24","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,4,2,2,1,2,2,NA,NA,NA,84,4,3,4,1,40,NA,40
"AT9000258","2007","Austria","AT","Never married and not living with partner","0","A city or city suburb","18-24","Upper secondary education (ISCED 3)","Male","Student",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,NA,1.5,2,3,2,3,2,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA
"AT9000540","2007","Austria","AT","Never married and not living with partner","0","A city or city suburb","18-24","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Student",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,2,2,2,2,2,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA
"AT9000578","2007","Austria","AT","Never married and not living with partner","0","A city or city suburb","18-24","Primary education (ISCED 1)","Male","Student",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,5,NA,2,3,4,5,2,4,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA
"AT9000025","2007","Austria","AT","Married or living with partner","2","A village/small town","35-49","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Female","Employed (includes on leave)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,5,NA,1.75,3,4,3,5,3,NA,NA,NA,48,4,4,5,1,30,NA,30
"AT9000029","2007","Austria","AT","Married or living with partner","2","The open countryside","35-49","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Female","Employed (includes on leave)",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,4,NA,2,3,5,2,4,2,NA,NA,NA,56,3,2,5,2,40,NA,40
"AT9000402","2007","Austria","AT","Married or living with partner","2","A village/small town","35-49","Upper secondary education (ISCED 3)","Female","Homemaker",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,2,4,2,4,5,NA,NA,NA,52,NA,NA,NA,NA,40,NA,40
"AT9000623","2007","Austria","AT","Never married and not living with partner","0","A village/small town","18-24","Upper secondary education (ISCED 3)","Male","Student",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,5,NA,1.5,2,2,1,2,1,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA
"AT9000625","2007","Austria","AT","Never married and not living with partner","0","A village/small town","18-24","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,2,2,1,1,1,NA,NA,NA,92,2,2,4,2,40,NA,40
"AT9000403","2007","Austria","AT","Widowed and not living with partner","1","A village/small town","50-64","Lower secondary education (ISCED 2)","Female","Retired",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,5,6,5,6,5,6,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"AT9000603","2007","Austria","AT","Married or living with partner","0","A city or city suburb","50-64","Upper secondary education (ISCED 3)","Female","Employed (includes on leave)",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,4,3,3,3,3,3,NA,NA,NA,60,3,3,3,1,30,NA,30
"AT9001002","2007","Austria","AT","Never married and not living with partner","0","A village/small town","18-24","Lower secondary education (ISCED 2)","Female","Unemployed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,1,NA,3.5,4,4,3,3,4,NA,NA,NA,48,NA,NA,NA,NA,25,NA,25
"AT9000766","2007","Austria","AT","Never married and not living with partner","0","The open countryside","18-24","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,5,NA,1.75,2,2,1,3,2,NA,NA,NA,80,5,5,5,1,38,NA,38
"AT9000753","2007","Austria","AT","Never married and not living with partner","0","A city or city suburb","18-24","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Female","Employed (includes on leave)",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,2,3,1,2,1,NA,NA,NA,84,2,4,5,2,NA,NA,NA
"AT9000823","2007","Austria","AT","Married or living with partner","2","The open countryside","35-49","Upper secondary education (ISCED 3)","Male","Other",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,3,NA,2,3,2,3,2,2,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA
"AT9000825","2007","Austria","AT","Married or living with partner","3","The open countryside","35-49","Lower secondary education (ISCED 2)","Male","Unable to work - disability/illness",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,NA,1.5,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,40
"AT9000121","2007","Austria","AT","Married or living with partner","2","A city or city suburb","35-49","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,NA,2.5,3,2,2,3,3,NA,NA,NA,68,1,2,4,2,40,NA,40
"AT9000127","2007","Austria","AT","Married or living with partner","2","A city or city suburb","35-49","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,NA,2.25,2,2,3,3,4,NA,NA,NA,64,2,3,4,2,40,NA,40
"AT9000632","2007","Austria","AT","Never married and not living with partner","0","A village/small town","18-24","Upper secondary education (ISCED 3)","Female","Student",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,2,2,2,2,1,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA
"AT9000778","2007","Austria","AT","Married or living with partner","4","A village/small town","35-49","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,NA,1.25,2,2,2,3,1,NA,NA,NA,80,4,4,5,1,30,NA,30
"AT9000952","2007","Austria","AT","Married or living with partner","2","The open countryside","35-49","Lower secondary education (ISCED 2)","Male","Employed (includes on leave)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,NA,3.25,4,4,4,4,3,NA,NA,NA,44,3,2,3,2,40,NA,40
"AT9000664","2007","Austria","AT","Married or living with partner","2","A village/small town","35-49","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Female","Unemployed",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,NA,1.5,5,5,5,5,4,NA,NA,NA,24,NA,NA,NA,NA,23,NA,23
"AT9000669","2007","Austria","AT","Married or living with partner","2","A village/small town","35-49","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Female","Employed (includes on leave)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,2,2,2,3,3,NA,NA,NA,72,2,4,5,2,20,NA,20
"AT9000615","2007","Austria","AT","Married or living with partner","3","A village/small town","35-49","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA,NA,3,4,2,4,3,NA,NA,NA,56,2,2,2,3,25,NA,25
"AT9000906","2007","Austria","AT","Never married and not living with partner","0","A medium to large town","18-24","Upper secondary education (ISCED 3)","Male","Student",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,NA,1.5,3,3,3,4,3,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA
"AT9000670","2007","Austria","AT","Married or living with partner","2","A village/small town","25-34","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,NA,3,3,4,3,6,4,NA,NA,NA,40,3,3,3,1,40,NA,40
"AT9000646","2007","Austria","AT","Widowed and not living with partner","1","A village/small town","50-64","Upper secondary education (ISCED 3)","Female","Retired",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,NA,4.5,1,2,5,5,3,NA,NA,NA,56,NA,NA,NA,NA,25,NA,25
"AT9000428","2007","Austria","AT","Married or living with partner","2","A city or city suburb","35-49","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,NA,3.25,4,4,4,4,4,NA,NA,NA,40,2,2,4,2,42,NA,42
"AT9000432","2007","Austria","AT","Married or living with partner","2","A city or city suburb","65+","Upper secondary education (ISCED 3)","Female","Retired",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,5,NA,2,4,3,4,4,4,NA,NA,NA,44,NA,NA,NA,NA,20,NA,20
"AT9000066","2007","Austria","AT","Married or living with partner","2","A village/small town","50-64","Lower secondary education (ISCED 2)","Male","Retired",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,2,NA,3,5,6,2,6,5,NA,NA,NA,24,NA,NA,NA,NA,38,NA,38
"AT9000372","2007","Austria","AT","Married or living with partner","2","A village/small town","50-64","Lower secondary education (ISCED 2)","Male","Employed (includes on leave)",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,3,NA,3.25,2,2,3,3,2,NA,NA,NA,72,2,2,3,2,50,NA,50
"AT9000819","2007","Austria","AT","Never married and not living with partner","0","A village/small town","25-34","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Female","Employed (includes on leave)",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,5,NA,1.5,2,2,2,5,2,NA,NA,NA,68,2,3,3,2,40,NA,40
"AT9000967","2007","Austria","AT","Married or living with partner","3","A village/small town","35-49","Lower secondary education (ISCED 2)","Male","Employed (includes on leave)",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,NA,4,5,5,4,5,5,NA,NA,NA,24,1,3,2,3,40,NA,40
"AT9000019","2007","Austria","AT","Married or living with partner","3","A village/small town","35-49","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,4,NA,1.75,3,4,2,4,2,NA,NA,NA,60,2,2,4,2,60,NA,60
"AT9000100","2007","Austria","AT","Married or living with partner","2","A city or city suburb","35-49","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Female","Employed (includes on leave)",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,2,2,2,3,2,NA,NA,NA,76,4,5,4,1,32,NA,32
"AT9000490","2007","Austria","AT","Married or living with partner","2","The open countryside","35-49","Lower secondary education (ISCED 2)","Female","Employed (includes on leave)",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,4,NA,2,3,3,4,3,4,NA,NA,NA,52,3,4,4,1,40,NA,40
"AT9000690","2007","Austria","AT","Married or living with partner","1","A city or city suburb","65+","Upper secondary education (ISCED 3)","Female","Retired",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,NA,1.25,2,3,3,2,2,NA,NA,NA,72,NA,NA,NA,NA,45,NA,45
"AT9000387","2007","Austria","AT","Married or living with partner","2","A village/small town","35-49","Lower secondary education (ISCED 2)","Male","Employed (includes on leave)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,3,4,2,5,3,NA,NA,NA,52,5,3,4,1,50,NA,50
"AT9000395","2007","Austria","AT","Married or living with partner","2","A village/small town","35-49","Lower secondary education (ISCED 2)","Male","Employed (includes on leave)",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,NA,1.25,5,5,2,5,5,NA,NA,NA,32,4,3,4,1,45,NA,45
"AT9000396","2007","Austria","AT","Married or living with partner","2","A village/small town","35-49","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,2,NA,2.75,3,2,5,3,5,NA,NA,NA,48,5,3,3,1,40,NA,40
"AT9000404","2007","Austria","AT","Married or living with partner","3","A village/small town","35-49","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,3,3,2,3,5,NA,NA,NA,56,4,2,2,3,38,NA,38
"AT9001030","2007","Austria","AT","Married or living with partner","2","A village/small town","50-64","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,NA,3.75,5,4,3,3,4,NA,NA,NA,44,1,2,4,2,40,NA,40
"AT9000872","2007","Austria","AT","Married or living with partner","2","A village/small town","35-49","Lower secondary education (ISCED 2)","Male","Employed (includes on leave)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,NA,3,2,2,2,2,2,NA,NA,NA,80,1,1,4,2,60,NA,60
"AT9000858","2007","Austria","AT","Married or living with partner","2","A medium to large town","35-49","Upper secondary education (ISCED 3)","Female","Employed (includes on leave)",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,NA,1.25,2,4,2,4,1,NA,NA,NA,68,1,1,4,2,50,NA,50
"AT9000218","2007","Austria","AT","Married or living with partner","2","A village/small town","50-64","Upper secondary education (ISCED 3)","Male","Unable to work - disability/illness",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,4,6,6,6,5,6,NA,NA,NA,4,NA,NA,NA,NA,60,NA,60
"AT9000151","2007","Austria","AT","Married or living with partner","2","A village/small town","50-64","Lower secondary education (ISCED 2)","Male","Other",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,5,NA,1.75,1,3,1,4,1,NA,NA,NA,80,NA,NA,NA,NA,50,NA,50
"AT9000072","2007","Austria","AT","Married or living with partner","2","A village/small town","25-34","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,2,NA,2.75,3,5,2,5,3,NA,NA,NA,48,2,2,2,3,38,NA,38
"AT9000049","2007","Austria","AT","Married or living with partner","1","A city or city suburb","50-64","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Female","Employed (includes on leave)",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,NA,1.5,1,5,1,1,2,NA,NA,NA,80,5,5,5,1,20,NA,20
"AT9000179","2007","Austria","AT","Married or living with partner","2","A city or city suburb","50-64","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Female","Employed (includes on leave)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,3,2,5,3,2,NA,NA,NA,60,5,4,4,1,22,NA,22
"AT9000735","2007","Austria","AT","Married or living with partner","5 or more children","A city or city suburb","50-64","Upper secondary education (ISCED 3)","Female","Unemployed",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,NA,2,3,3,2,2,3,NA,NA,NA,68,NA,NA,NA,NA,40,NA,40
"AT9000665","2007","Austria","AT","Never married and not living with partner","0","A village/small town","18-24","Upper secondary education (ISCED 3)","Male","Student",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,3,3,3,2,2,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA
"AT9000314","2007","Austria","AT","Married or living with partner","2","The open countryside","35-49","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Female","Homemaker",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,NA,1.25,2,2,5,3,3,NA,NA,NA,60,NA,NA,NA,NA,15,NA,15
"AT9000951","2007","Austria","AT","Married or living with partner","2","The open countryside","35-49","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Female","Employed (includes on leave)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,2,NA,3,3,4,3,4,3,NA,NA,NA,52,2,3,3,2,20,NA,20
"AT9000554","2007","Austria","AT","Married or living with partner","2","A city or city suburb","35-49","Lower secondary education (ISCED 2)","Male","Employed (includes on leave)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,NA,2.25,3,3,2,2,4,NA,NA,NA,64,1,2,4,2,38,NA,38
"AT9000065","2007","Austria","AT","Married or living with partner","1","A village/small town","65+","Upper secondary education (ISCED 3)","Male","Retired",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,5,NA,1.75,2,2,6,2,3,NA,NA,NA,60,NA,NA,NA,NA,40,NA,40
"AT9000328","2007","Austria","AT","Married or living with partner","2","The open countryside","35-49","Lower secondary education (ISCED 2)","Female","Employed (includes on leave)",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,1,2,3,3,2,2,NA,NA,NA,72,5,5,5,1,20,NA,20
"AT9000439","2007","Austria","AT","Married or living with partner","3","A city or city suburb","25-34","Tertiary education - first level (ISCED 5)","Female","Homemaker",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,3,NA,3,4,4,4,5,3,NA,NA,NA,40,NA,NA,NA,NA,30,NA,30
"AT9000682","2007","Austria","AT","Married or living with partner","2","A city or city suburb","25-34","Lower secondary education (ISCED 2)","Female","Homemaker",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,5,NA,2,3,2,3,3,2,NA,NA,NA,68,NA,NA,NA,NA,20,NA,20
"AT9000093","2007","Austria","AT","Married or living with partner","0","The open countryside","50-64","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Female","Retired",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,NA,2,2,2,2,2,2,NA,NA,NA,80,NA,NA,NA,NA,38,NA,38
"AT9001028","2007","Austria","AT","Married or living with partner","3","The open countryside","50-64","Lower secondary education (ISCED 2)","Female","Retired",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,35
"AT9000454","2007","Austria","AT","Married or living with partner","2","The open countryside","25-34","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,4,NA,3.25,3,4,3,2,3,NA,NA,NA,60,2,3,3,2,38,NA,38
"AT9000743","2007","Austria","AT","Married or living with partner","2","The open countryside","25-34","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,4,4,2,3,5,5,NA,NA,NA,44,4,4,4,1,40,NA,40
"AT9000953","2007","Austria","AT","Married or living with partner","3","The open countryside","25-34","Lower secondary education (ISCED 2)","Male","Employed (includes on leave)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,4.25,3,3,3,3,3,NA,NA,NA,60,2,3,3,2,40,NA,40
"AT9000222","2007","Austria","AT","Married or living with partner","2","A village/small town","50-64","Lower secondary education (ISCED 2)","Female","Homemaker",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,NA,2,5,4,5,4,4,NA,NA,NA,32,NA,NA,NA,NA,48,NA,48
