"age","gender","level_of_study","si_socialise_with_people_exp","si_supportive_friends_exp","si_time_socialising_exp","cs_explain_ideas_imp","cs_find_clarification_imp","cs_learn_different_styles_imp","cs_explain_ideas_exp","cs_find_clarification_exp","cs_learn_different_styles_exp"
20,"Female","UG",5,4,3,5,4,5,4,3,4
25,"Male","UG",4,1,1,6,6,6,1,3,3
26,"Female","PGT",2,1,2,6,5,6,2,3,3
23,"Female","UG",2,2,2,6,5,6,5,5,4
24,"Male","UG",2,3,2,5,5,5,4,4,3
26,"Female","UG",6,6,6,6,5,6,6,4,6
23,"Male","UG",1,1,1,4,4,4,2,2,2
23,"Female","PGT",3,3,4,5,4,6,5,4,5
22,"Male","UG",4,3,2,4,4,3,4,4,2
22,"Female","UG",6,6,3,5,5,5,6,6,6
22,"Male","UG",6,6,6,6,6,5,6,6,5
21,"Female","UG",2,2,1,5,5,3,3,5,2
19,"Male","UG",2,3,4,6,6,6,4,5,6
26,"Male","UG",1,1,1,3,3,3,2,2,2
25,"Male","PGT",2,4,2,6,4,2,5,5,4
27,"Female","PGT",4,3,3,6,6,5,6,6,4
23,"Male","PGT",3,3,2,5,4,4,4,4,4
25,"Female","PGT",1,1,1,4,4,4,3,3,3
19,"Female","UG",3,3,4,6,6,4,4,6,4
21,"Female","UG",3,5,5,5,5,5,6,5,5
20,"Male","UG",1,1,1,3,3,2,2,4,2
23,"Female","PGT",3,1,2,5,5,5,5,5,3
23,"Male","UG",3,3,2,3,3,2,4,4,4
22,"Male","UG",2,2,2,6,5,4,6,5,4
22,"Female","UG",3,2,2,5,5,5,5,5,4
22,"Male","UG",3,4,3,6,5,3,4,4,3
20,"Female","UG",4,3,5,6,6,6,5,6,6
27,"Female","PGT",1,1,1,6,6,6,3,6,3
22,"Female","UG",3,1,1,6,6,6,1,3,4
21,"Female","UG",1,2,4,6,6,6,6,6,1
19,"Female","UG",4,5,4,6,5,5,5,5,4
26,"Female","UG",5,5,6,5,6,6,6,6,6
23,"Female","PGT",4,2,2,6,6,3,5,4,3
23,"Male","UG",5,3,1,6,6,6,6,6,6
23,"Male","UG",4,4,3,5,4,6,6,6,6
20,"Female","UG",2,5,2,6,6,6,6,6,6
22,"Male","UG",4,3,4,5,5,5,2,2,3
24,"Female","PGT",4,5,4,4,5,5,5,4,4
25,"Female","PGT",6,6,6,5,4,1,4,3,2
25,"Male","UG",3,1,1,2,2,2,2,2,2
20,"Female","UG",3,2,1,6,6,5,2,4,3
21,"Female","UG",3,1,1,3,4,3,4,5,2
21,"Female","UG",5,5,6,5,5,5,5,5,5
20,"Female","UG",5,4,6,5,6,4,5,4,3
24,"Female","PGR",5,2,3,5,5,5,5,5,5
29,"Female","UG",3,3,3,4,4,4,4,3,3
22,"Female","UG",2,2,1,6,5,5,2,5,3
20,"Female","UG",4,2,1,6,6,6,5,5,5
28,"Female","PGR",5,4,5,5,5,5,4,6,5
23,"Male","PGT",2,2,1,5,5,5,3,3,4
22,"Male","UG",1,2,1,1,3,1,1,3,1
21,"Female","UG",2,1,1,5,5,3,4,4,3
21,"Female","UG",4,6,4,6,5,5,5,5,4
19,"Female","Other",3,3,3,5,6,6,4,5,4
21,"Female","UG",4,5,6,6,5,5,4,4,5
21,"Female","UG",4,3,4,6,6,5,4,6,5
21,"Male","UG",4,3,3,4,4,4,4,4,4
21,"Female","UG",5,5,4,4,4,4,4,4,4
20,"Female","UG",3,3,3,5,5,6,5,5,5
23,"Male","PGT",5,4,6,6,3,4,5,4,3
25,"Female","UG",1,2,2,6,6,5,4,4,3
23,"Female","PGT",2,3,3,6,6,6,2,3,3
24,"Female","PGT",2,2,2,6,6,6,2,2,2
24,"Male","PGT",5,5,5,6,6,5,5,5,5
25,"Female","PGT",5,3,2,6,6,5,4,4,5
28,"Female","UG",3,5,2,5,6,6,4,4,4
22,"Male","PGT",6,6,6,4,6,6,6,6,6
22,"Female","UG",5,5,4,6,6,6,6,5,1
24,"Female","UG",5,5,5,6,6,6,6,6,6
28,"Female","UG",2,3,2,3,2,3,2,3,2
42,"Female","PGR",6,6,6,4,5,6,5,5,6
28,"Female","PGR",5,5,4,4,4,5,5,5,5
23,"Female","PGR",3,3,3,5,5,5,5,5,5
19,"Female","UG",5,3,3,5,6,4,4,5,4
23,"Male","PGT",3,2,2,3,3,3,1,1,3
25,"Female","UG",3,6,3,6,6,5,6,5,4
22,"Female","UG",2,2,2,6,5,6,4,2,5
20,"Female","UG",5,4,4,6,6,4,5,5,5
22,"Female","UG",2,5,2,6,5,3,4,5,3
21,"Female","UG",3,2,2,6,6,6,6,6,3
20,"Female","UG",5,5,4,5,5,5,3,4,3
21,"Male","UG",3,2,2,6,6,4,5,5,4
30,"Female","PGR",4,4,1,5,5,5,1,3,1
34,"Male","PGR",5,4,4,5,5,5,4,5,6
23,"Male","UG",3,4,3,4,4,4,4,4,4
21,"Female","PGT",6,6,6,6,5,5,6,5,6
26,"Female","UG",4,4,4,6,6,6,5,5,5
22,"Male","UG",1,1,1,6,6,6,5,5,4
33,"Female","PGR",5,6,6,6,4,6,5,4,5
23,"Female","PGT",5,6,6,6,6,5,4,6,5
21,"Female","UG",4,6,6,6,6,6,4,6,6
24,"Female","UG",5,3,2,5,4,3,4,4,3
29,"Male","PGR",3,4,3,6,6,5,5,5,4
23,"Male","PGT",4,6,6,4,4,4,4,4,4
20,"Female","UG",6,6,6,6,6,6,4,6,4
22,"Male","UG",2,1,3,5,5,3,4,4,2
23,"Female","PGT",2,1,1,6,6,5,5,5,4
22,"Female","PGR",2,2,3,6,6,4,4,6,1
45,"Male","UG",6,6,6,6,6,6,6,6,6
21,"Female","UG",2,1,1,6,6,5,4,3,5
21,"Female","UG",2,3,2,5,5,5,5,5,5
22,"Male","UG",6,6,5,6,6,6,5,5,6
20,"Female","UG",4,3,4,6,6,6,5,4,6
24,"Female","UG",5,5,3,6,6,4,4,5,2
23,"Male","UG",2,1,1,6,6,6,5,5,4
22,"Female","UG",4,4,2,4,4,4,4,4,4
22,"Female","UG",6,6,5,5,6,4,5,6,5
22,"Female","UG",5,5,5,6,6,4,5,5,5
21,"Male","UG",2,4,3,5,5,5,4,4,5
21,"Female","UG",5,3,4,4,5,5,5,5,5
22,"Female","UG",2,2,1,6,5,6,5,3,4
22,"Female","UG",6,6,6,6,6,6,6,6,6
20,"Female","UG",2,2,2,3,2,2,2,3,3
27,"Male","PGR",4,2,3,5,5,5,5,5,5
21,"Female","UG",3,4,2,6,6,3,4,5,3
23,"Male","UG",4,4,5,5,5,5,4,4,4
22,"Female","UG",2,2,2,6,6,5,3,3,6
20,"Female","UG",5,5,6,6,5,5,4,5,4
21,"Female","UG",6,5,3,6,6,6,6,6,6
24,"Female","UG",4,5,6,6,6,5,4,5,5
21,"Male","UG",4,4,1,6,6,5,4,4,4
25,"Female","PGT",6,6,6,6,6,6,6,6,6
21,"Male","UG",2,2,1,6,6,6,2,3,1
22,"Female","UG",3,2,2,6,6,6,1,2,1
21,"Male","PGR",4,2,2,4,5,4,4,4,4
25,"Male","PGT",1,1,1,4,1,1,1,4,1
29,"Female","PGT",3,3,2,6,5,4,5,3,3
21,"Male","UG",3,2,4,6,6,5,5,5,4
31,"Male","PGR",2,2,2,6,6,5,6,6,5
39,"Female","UG",6,6,6,6,6,4,6,6,5
24,"Female","PGT",3,5,3,5,4,4,4,5,4
26,"Female","PGR",2,2,2,5,5,6,4,5,6
37,"Male","Other",6,6,4,6,6,6,5,5,6
23,"Female","UG",3,4,1,6,6,6,1,1,4
23,"Male","PGT",3,3,3,3,3,3,3,3,3
56,"Male","PGR",3,3,2,5,5,4,3,4,3
74,"Female","UG",5,6,5,5,6,5,6,6,6
27,"Male","PGT",5,5,4,6,5,5,4,5,4
25,"Female","PGR",4,5,4,6,6,6,5,5,4
22,"Female","UG",2,2,1,6,6,6,5,5,4
22,"Female","PGT",4,4,4,5,5,4,4,4,4
26,"Male","PGT",6,3,3,6,6,6,6,6,3
43,"Male","PGT",1,2,2,4,4,2,4,4,5
22,"Female","UG",4,1,1,6,6,4,4,3,3
25,"Female","PGR",4,4,4,5,5,3,4,4,3
22,"Female","UG",3,4,2,3,4,5,4,4,5
20,"Female","UG",6,5,5,6,4,5,5,4,4
23,"Female","PGT",2,2,2,6,5,6,5,2,4
25,"Female","PGT",3,2,3,5,5,5,4,3,3
21,"Female","UG",3,5,3,5,5,4,5,5,3
23,"Male","PGT",3,3,3,6,6,6,4,5,5
19,"Male","UG",3,4,4,4,6,4,4,6,4
22,"Female","UG",2,1,2,4,4,4,3,4,3
22,"Female","UG",4,4,4,5,5,5,4,4,5
24,"Female","PGT",3,1,1,3,3,2,3,3,3
23,"Male","PGT",1,1,1,5,6,5,5,5,5
22,"Prefer not to say","UG",3,4,6,6,6,6,2,4,2
26,"Female","Other",6,6,3,6,6,5,6,6,2
23,"Female","PGR",2,5,3,4,3,4,4,4,3
29,"Female","PGT",6,5,5,5,5,5,5,5,5
22,"Male","PGT",3,2,3,5,5,5,3,5,3
22,"Female","UG",5,6,5,6,6,6,5,5,5
21,"Male","UG",4,3,1,6,6,6,4,4,5
29,"Female","PGR",5,4,4,5,5,5,5,5,5
29,"Male","PGT",5,5,5,6,6,6,6,6,6
23,"Male","UG",5,5,4,6,5,5,5,6,5
23,"Female","UG",4,1,1,6,6,6,4,3,1
22,"Female","UG",5,4,4,5,5,4,5,4,2
22,"Female","UG",5,3,4,5,5,5,3,5,5
21,"Female","UG",2,1,2,6,6,6,2,5,2
34,"Female","PGR",2,2,4,5,5,5,4,4,4
19,"Female","UG",4,5,2,5,4,5,4,4,1
24,"Female","UG",4,3,3,6,6,6,6,5,6
25,"Female","UG",1,1,1,3,3,3,2,2,3
25,"Female","UG",2,2,1,3,1,6,3,3,3
23,"Female","UG",4,3,2,6,6,6,3,4,4
48,"Male","PGT",4,2,3,6,6,5,5,5,5
23,"Female","UG",4,5,5,6,6,6,6,6,5
25,"Male","PGT",1,2,1,5,5,5,4,5,3
33,"Female","PGR",5,2,2,4,4,5,5,3,5
24,"Female","PGT",4,1,2,6,5,5,4,5,4
30,"Female","PGT",4,3,2,4,4,4,5,4,2
20,"Male","UG",3,1,5,6,5,4,5,5,3
19,"Female","UG",5,5,4,6,6,6,4,5,3
25,"Female","UG",3,6,3,5,5,3,5,4,4
29,"Female","UG",1,6,2,6,5,4,4,5,6
29,"Female","PGT",2,1,1,5,5,3,2,2,2
19,"Female","UG",4,5,5,6,5,5,4,5,5
20,"Male","UG",3,3,4,6,6,4,5,5,3
20,"Male","UG",4,3,4,4,3,4,4,3,3
23,"Male","UG",4,2,4,6,5,4,6,5,4
23,"Female","PGT",5,4,5,6,6,5,5,5,5
22,"Female","UG",2,2,2,6,6,6,3,5,4
22,"Male","UG",3,2,2,3,3,5,3,4,4
37,"Male","PGT",5,5,3,6,5,4,5,6,3
21,"Male","UG",6,6,4,6,6,6,6,6,6
21,"Female","UG",3,5,5,4,5,4,2,5,4
19,"Female","UG",4,1,1,6,6,6,1,3,3
24,"Male","PGT",1,4,3,6,6,6,3,5,1
21,"Female","UG",6,4,5,4,5,3,4,5,3
24,"Female","PGT",2,2,2,6,6,5,5,5,5
20,"Female","UG",4,4,4,6,6,6,6,6,6
25,"Male","PGT",3,3,3,3,4,3,3,2,2
23,"Male","UG",5,3,2,6,6,6,6,6,6
22,"Female","UG",6,6,3,6,6,6,6,6,6
19,"Female","UG",3,4,1,6,6,6,3,5,6
25,"Female","Other",2,4,5,6,6,6,3,6,1
26,"Male","PGT",4,2,2,6,6,5,4,5,3
20,"Female","UG",4,4,3,6,6,5,4,3,3
23,"Male","UG",5,6,3,5,5,5,5,5,4
21,"Female","UG",4,3,4,6,6,6,5,6,5
23,"Male","PGR",3,3,3,1,1,1,1,1,1
28,"Male","PGR",5,5,5,5,5,5,4,4,3
22,"Female","UG",2,1,1,6,6,6,4,5,4
23,"Male","UG",2,1,1,6,6,6,1,1,1
21,"Male","UG",3,4,1,5,6,5,3,4,3
23,"Female","UG",5,6,5,6,6,6,6,6,6
39,"Female","PGT",4,4,4,6,6,6,5,5,4
24,"Female","PGT",2,1,2,6,6,6,1,1,1
21,"Female","UG",3,1,3,5,5,4,4,4,5
21,"Male","UG",3,3,5,3,4,4,5,4,5
22,"Female","UG",3,1,5,6,5,6,5,4,3
24,"Female","PGT",4,2,1,3,6,6,2,6,6
25,"Male","PGT",5,5,4,6,6,6,4,4,5
24,"Female","PGT",6,6,6,6,6,6,6,6,5
22,"Male","UG",6,6,6,6,6,6,6,6,6
24,"Male","PGT",5,4,4,6,6,6,4,4,3
21,"Female","UG",4,4,3,5,5,6,4,4,3
21,"Female","UG",3,1,2,6,6,6,6,6,6
22,"Female","UG",5,5,5,6,6,6,2,4,1
23,"Female","UG",6,1,2,5,5,3,3,5,1
24,"Female","PGT",3,2,3,4,3,3,4,4,5
22,"Prefer not to say","UG",4,5,5,6,6,6,3,3,4
22,"Male","UG",4,5,4,6,6,6,6,6,6
33,"Female","PGT",2,5,3,6,6,5,3,3,3
21,"Female","UG",3,3,3,5,5,6,5,5,5
23,"Male","PGT",5,3,3,6,6,5,5,4,4
29,"Prefer not to say","PGR",5,2,3,6,5,5,2,4,4
23,"Female","PGR",4,2,3,4,4,5,4,3,5
21,"Male","UG",6,5,5,6,5,5,6,5,5
20,"Male","UG",5,5,3,3,1,3,4,1,3
22,"Female","UG",3,1,1,6,6,6,4,3,2
23,"Female","PGT",2,2,2,4,4,3,3,2,2
19,"Female","UG",6,5,4,5,5,6,5,6,5
26,"Female","PGR",5,4,3,6,6,4,6,6,6
22,"Female","UG",3,3,4,5,5,6,2,4,6
27,"Male","UG",2,2,3,6,6,6,4,3,4
20,"Male","UG",2,3,2,5,4,4,3,3,2
25,"Male","UG",3,3,3,4,4,4,4,4,3
