"country","gender","age","relationship_status","freedom_of_choice","satisfaction"
"Bolivia","female",58,"single",9,8
"Bolivia","female",63,"married",4,10
"Bolivia","male",29,"single",7,5
"Bolivia","female",18,"single",7,5
"Bolivia","male",24,"married",7,8
"Bolivia","female",52,"separated",1,1
"Bolivia","male",54,"married",8,8
"Bolivia","female",27,"single",10,8
"Bolivia","female",41,"married",9,10
"Bolivia","female",21,"living together as married",10,10
"Bolivia","female",22,"living together as married",5,8
"Bolivia","male",29,"single",10,8
"Bolivia","female",35,"living together as married",7,10
"Bolivia","female",83,"widowed",9,4
"Bolivia","female",30,"married",10,10
"Bolivia","female",57,"married",7,6
"Bolivia","male",41,"living together as married",9,9
"Bolivia","male",20,"living together as married",8,10
"Bolivia","male",21,"single",10,10
"Bolivia","male",62,"divorced",3,5
"Bolivia","male",46,"married",8,7
"Bolivia","male",25,"living together as married",6,8
"Bolivia","female",47,"married",7,7
"Bolivia","male",30,"divorced",5,6
"Bolivia","male",24,"separated",8,8
"Bolivia","male",26,"living together as married",8,5
"Bolivia","female",45,"married",8,8
"Bolivia","female",47,"widowed",6,6
"Bolivia","female",41,"married",10,8
"Bolivia","male",29,"single",10,10
"Bolivia","male",60,"married",8,6
"Bolivia","male",55,"married",5,8
"Bolivia","female",76,"widowed",8,5
"Bolivia","male",34,"married",10,7
"Bolivia","female",65,"widowed",7,9
"Bolivia","female",20,"single",9,9
"Bolivia","female",61,"married",4,8
"Bolivia","female",80,"single",8,5
"Bolivia","male",19,"single",9,8
"Bolivia","male",40,"separated",7,7
"Bolivia","female",62,"divorced",10,10
"Bolivia","female",40,"married",8,9
"Bolivia","female",79,"married",8,8
"Bolivia","female",42,"married",5,4
"Bolivia","female",82,"widowed",8,8
"Bolivia","female",20,"single",5,5
"Bolivia","female",49,"widowed",8,3
"Bolivia","female",30,"divorced",7,9
"Bolivia","female",30,"separated",10,9
"Bolivia","male",46,"separated",8,7
"Bolivia","female",26,"single",3,7
"Bolivia","male",56,"living together as married",5,7
"Bolivia","female",33,"living together as married",10,4
"Bolivia","female",47,"living together as married",8,7
"Bolivia","female",19,"separated",8,9
"Bolivia","male",38,"separated",7,10
"Bolivia","female",36,"single",4,4
"Bolivia","male",48,"married",8,8
"Bolivia","male",31,"single",2,8
"Bolivia","male",23,"living together as married",8,9
"Bolivia","female",31,"living together as married",8,10
"Bolivia","male",62,"living together as married",10,5
"Bolivia","male",76,"married",8,7
"Bolivia","male",35,"married",6,6
"Bolivia","female",26,"living together as married",6,8
"Bolivia","female",42,"married",9,10
"Bolivia","female",79,"widowed",4,6
"Bolivia","female",29,"married",8,9
"Bolivia","female",32,"single",5,6
"Bolivia","male",31,"living together as married",10,8
"Bolivia","male",52,"widowed",10,3
"Bolivia","female",57,"widowed",9,8
"Bolivia","male",30,"living together as married",8,8
"Bolivia","female",27,"single",8,9
"Bolivia","female",32,"separated",10,7
"Bolivia","female",29,"divorced",9,7
"Bolivia","female",25,"married",9,10
"Bolivia","female",31,"married",4,8
"Bolivia","female",28,"married",8,8
"Bolivia","female",18,"single",4,7
"Bolivia","female",22,"single",8,10
"Bolivia","male",25,"single",8,10
"Bolivia","female",28,"married",8,8
"Bolivia","male",18,"single",7,8
"Bolivia","female",32,"separated",10,10
"Bolivia","female",36,"married",9,1
"Bolivia","female",28,"living together as married",9,10
"Bolivia","female",54,"living together as married",5,5
"Bolivia","male",36,"single",8,5
"Bolivia","male",40,"married",10,10
"Bolivia","female",38,"married",10,10
"Bolivia","female",31,"married",8,9
"Bolivia","female",46,"living together as married",7,8
"Bolivia","female",42,"married",7,5
"Bolivia","female",26,"single",7,5
"Bolivia","female",19,"single",10,3
"Bolivia","male",28,"living together as married",6,10
"Bolivia","female",21,"living together as married",5,7
"Bolivia","male",64,"married",7,9
"Bolivia","female",40,"married",9,9
"Bolivia","male",29,"living together as married",8,10
"Bolivia","male",36,"living together as married",6,5
"Bolivia","female",32,"single",8,8
"Bolivia","female",74,"single",7,9
"Bolivia","male",51,"married",6,8
"Bolivia","male",49,"married",8,7
"Bolivia","female",43,"living together as married",5,5
"Bolivia","male",67,"married",6,10
"Bolivia","female",61,"married",8,4
"Bolivia","male",23,"single",10,10
"Bolivia","male",54,"married",4,6
"Bolivia","female",66,"separated",7,7
"Bolivia","female",23,"single",8,9
"Bolivia","male",19,"single",6,9
"Bolivia","male",44,"single",8,6
"Bolivia","female",29,"living together as married",10,10
"Bolivia","female",50,"married",5,7
"Bolivia","male",52,"married",10,9
"Bolivia","female",34,"married",7,8
"Bolivia","female",35,"single",7,8
"Bolivia","female",47,"married",6,10
"Bolivia","male",58,"married",6,6
"Bolivia","male",65,"widowed",5,7
"Bolivia","male",62,"married",5,8
"Bolivia","female",24,"single",5,4
"Bolivia","male",25,"married",8,8
"Bolivia","female",60,"married",8,8
"Bolivia","male",19,"living together as married",8,6
"Bolivia","female",40,"widowed",6,9
"Bolivia","male",20,"single",10,9
"Bolivia","male",24,"single",5,6
"Bolivia","male",54,"separated",4,4
"Bolivia","male",50,"single",6,10
"Bolivia","female",60,"married",6,5
"Bolivia","male",22,"single",10,7
"Bolivia","male",60,"married",8,8
"Bolivia","female",30,"single",9,8
"Bolivia","male",57,"married",8,7
"Bolivia","male",39,"married",8,9
"Bolivia","female",27,"single",9,7
"Bolivia","female",41,"living together as married",7,6
"Bolivia","male",62,"married",8,6
"Bolivia","male",26,"single",10,10
"Bolivia","male",37,"living together as married",10,10
"Bolivia","male",18,"single",7,9
"Bolivia","female",18,"single",9,10
"Bolivia","male",32,"living together as married",8,8
"Bolivia","male",46,"married",10,10
"Bolivia","male",31,"single",2,5
"Bolivia","male",22,"married",8,8
"Bolivia","female",65,"widowed",2,10
"Bolivia","female",22,"living together as married",10,10
"Bolivia","female",20,"single",7,6
"Bolivia","male",33,"living together as married",8,8
"Bolivia","male",52,"divorced",1,1
"Bolivia","male",25,"single",6,5
"Bolivia","female",19,"single",5,6
"Bolivia","female",53,"married",10,5
"Bolivia","female",29,"living together as married",6,5
"Bolivia","male",27,"single",5,6
"Bolivia","female",29,"married",7,7
"Bolivia","male",25,"living together as married",7,7
"Bolivia","male",75,"widowed",5,6
"Bolivia","female",48,"married",6,8
"Bolivia","male",62,"married",8,8
"Bolivia","female",27,"living together as married",8,8
"Bolivia","male",19,"single",8,9
"Bolivia","male",22,"single",6,9
"Bolivia","female",30,"married",5,10
"Bolivia","male",40,"married",5,9
"Bolivia","male",34,"single",9,6
"Bolivia","male",59,"married",10,10
"Bolivia","male",67,"married",5,10
"Bolivia","female",27,"single",5,7
"Bolivia","male",33,"divorced",10,6
"Bolivia","male",50,"separated",5,5
"Bolivia","male",35,"single",7,8
"Bolivia","male",45,"married",6,7
"Bolivia","male",29,"single",8,10
"Bolivia","female",23,"single",10,9
"Bolivia","female",30,"single",10,10
"Bolivia","female",40,"single",10,10
"Bolivia","female",47,"married",6,8
"Bolivia","female",67,"widowed",8,9
"Bolivia","female",27,"living together as married",6,7
"Bolivia","female",31,"living together as married",7,2
"Bolivia","female",33,"living together as married",10,10
"Bolivia","female",40,"married",1,1
"Bolivia","female",55,"single",10,7
"Bolivia","male",18,"single",5,7
"Bolivia","male",20,"single",8,9
"Bolivia","male",37,"married",8,9
"Bolivia","male",22,"single",5,8
"Bolivia","female",27,"single",8,8
"Bolivia","female",33,"married",10,10
"Bolivia","male",25,"single",8,8
"Bolivia","female",21,"married",8,6
"Bolivia","female",65,"living together as married",4,4
"Bolivia","female",46,"divorced",5,3
"Bolivia","male",61,"single",10,10
"Bolivia","female",55,"divorced",10,10
"Bolivia","male",18,"single",8,9
"Bolivia","female",38,"married",6,7
"Bolivia","male",36,"living together as married",8,2
"Bolivia","male",47,"married",8,7
"Bolivia","male",42,"married",10,10
"Bolivia","male",48,"living together as married",10,9
"Bolivia","male",43,"living together as married",7,8
"Bolivia","female",34,"married",8,5
"Bolivia","male",28,"living together as married",8,8
"Bolivia","female",28,"living together as married",6,6
"Bolivia","male",51,"married",7,7
"Bolivia","female",24,"single",7,7
"Bolivia","male",68,"married",10,6
"Bolivia","male",58,"married",9,9
"Bolivia","male",18,"single",6,7
"Bolivia","female",29,"married",10,10
"Bolivia","female",21,"living together as married",7,9
"Bolivia","female",52,"living together as married",5,5
"Bolivia","male",36,"married",8,8
"Bolivia","male",45,"separated",10,7
"Bolivia","female",28,"married",10,8
"Bolivia","female",63,"widowed",10,10
"Bolivia","male",33,"single",7,8
"Bolivia","male",20,"single",6,10
"Bolivia","male",40,"married",9,7
"Bolivia","female",23,"living together as married",5,10
"Bolivia","female",29,"living together as married",4,5
"Bolivia","female",20,"single",7,9
"Bolivia","male",39,"married",6,8
"Bolivia","female",38,"single",7,8
"Bolivia","female",31,"single",5,3
"Bolivia","male",19,"living together as married",2,6
"Bolivia","female",54,"separated",8,6
"Bolivia","female",43,"married",5,4
"Bolivia","male",27,"living together as married",5,5
"Bolivia","female",23,"single",5,10
"Bolivia","female",26,"married",7,5
"Bolivia","male",36,"living together as married",9,2
"Bolivia","male",21,"single",8,10
"Bolivia","male",72,"married",3,8
"Bolivia","female",66,"married",3,4
"Bolivia","male",27,"single",9,9
"Bolivia","female",72,"widowed",7,6
"Bolivia","female",44,"married",4,8
"Bolivia","female",38,"separated",10,7
"Bolivia","male",25,"single",1,2
"Bolivia","female",43,"living together as married",5,7
"Bolivia","female",28,"married",5,8
"Bolivia","female",38,"married",8,5
"Bolivia","female",38,"married",5,7
"Bolivia","male",45,"married",10,10
"Bolivia","female",66,"living together as married",5,4
"Bolivia","female",55,"widowed",5,5
"Bolivia","male",44,"married",10,8
"Bolivia","female",42,"married",9,9
"Bolivia","male",35,"married",10,5
"Bolivia","female",24,"single",8,7
"Bolivia","female",49,"separated",6,4
"Bolivia","female",28,"married",8,10
"Bolivia","male",68,"single",5,4
"Bolivia","male",18,"single",5,8
"Bolivia","male",30,"single",8,7
"Bolivia","male",28,"living together as married",7,7
"Bolivia","male",31,"single",9,7
"Bolivia","female",28,"married",8,6
"Bolivia","female",45,"widowed",8,6
"Bolivia","female",18,"single",10,6
"Bolivia","male",22,"single",8,7
"Bolivia","male",21,"single",7,8
"Bolivia","male",74,"married",7,9
"Bolivia","female",22,"married",6,4
"Bolivia","male",18,"single",10,10
"Bolivia","male",72,"married",10,2
"Bolivia","female",35,"married",10,10
"Bolivia","male",18,"single",8,9
"Bolivia","female",32,"separated",10,8
"Bolivia","female",20,"living together as married",6,8
"Bolivia","female",29,"married",10,7
"Bolivia","female",28,"single",9,7
"Bolivia","male",52,"separated",5,10
"Bolivia","male",63,"married",10,10
"Bolivia","male",27,"single",7,8
"Bolivia","female",28,"married",8,7
"Bolivia","male",51,"separated",6,6
"Bolivia","male",69,"married",7,5
"Bolivia","male",45,"married",8,10
"Bolivia","male",45,"divorced",10,10
"Bolivia","male",25,"single",10,6
"Bolivia","male",25,"single",7,7
"Bolivia","female",31,"living together as married",7,9
"Bolivia","female",53,"married",5,9
"Bolivia","female",57,"married",10,10
"Bolivia","female",49,"married",10,8
"Bolivia","female",33,"living together as married",8,9
"Bolivia","female",49,"living together as married",4,5
"Bolivia","female",76,"widowed",9,9
"Bolivia","male",26,"single",6,7
"Bolivia","male",57,"married",8,7
"Bolivia","female",67,"divorced",8,9
"Bolivia","male",23,"living together as married",10,8
"Bolivia","female",20,"single",9,10
"Bolivia","female",25,"single",10,7
"Bolivia","male",82,"married",6,7
"Bolivia","male",68,"married",10,5
"Bolivia","female",46,"married",7,9
"Bolivia","male",21,"single",8,7
"Bolivia","female",20,"single",9,8
"Bolivia","female",20,"single",7,4
"Bolivia","female",57,"widowed",9,9
"Bolivia","female",44,"married",6,5
"Bolivia","female",60,"divorced",7,7
"Bolivia","male",45,"married",10,10
"Bolivia","female",39,"married",10,9
"Bolivia","male",18,"single",10,4
"Bolivia","male",48,"married",10,9
"Bolivia","male",44,"single",8,8
"Bolivia","female",36,"widowed",9,9
"Bolivia","female",30,"married",10,10
"Bolivia","male",50,"married",7,7
"Bolivia","female",41,"married",10,10
"Bolivia","female",56,"widowed",10,10
"Bolivia","male",56,"married",10,1
"Bolivia","male",24,"living together as married",8,8
"Bolivia","male",24,"single",10,10
"Bolivia","male",42,"married",10,10
"Bolivia","female",28,"single",9,5
"Bolivia","male",44,"married",6,7
"Bolivia","male",62,"living together as married",6,6
"Bolivia","male",46,"married",6,6
"Bolivia","male",18,"single",8,6
"Bolivia","female",48,"married",8,10
"Bolivia","female",32,"living together as married",7,4
"Bolivia","male",32,"married",9,6
"Bolivia","female",25,"single",6,10
"Bolivia","male",46,"married",8,7
"Bolivia","male",45,"living together as married",6,7
"Bolivia","male",22,"single",8,8
"Bolivia","female",20,"single",5,5
"Bolivia","male",65,"married",8,9
"Bolivia","male",28,"single",9,8
"Bolivia","female",27,"living together as married",6,9
"Bolivia","male",27,"married",6,7
"Bolivia","male",50,"single",7,10
"Bolivia","female",54,"married",5,10
"Bolivia","female",67,"widowed",10,9
"Bolivia","female",25,"single",8,8
"Bolivia","female",21,"living together as married",7,9
"Bolivia","female",52,"married",6,4
"Bolivia","female",44,"married",7,9
"Bolivia","female",65,"widowed",7,7
"Bolivia","female",19,"single",6,4
"Bolivia","female",34,"married",5,6
"Bolivia","female",38,"widowed",9,5
"Bolivia","male",36,"married",8,8
"Bolivia","female",21,"married",3,10
"Bolivia","male",30,"single",6,7
"Bolivia","female",23,"single",6,4
"Bolivia","male",36,"single",1,6
"Bolivia","male",50,"living together as married",8,8
"Bolivia","male",19,"single",10,10
"Bolivia","male",79,"living together as married",6,4
"Bolivia","female",18,"single",10,10
"Bolivia","male",20,"single",5,7
"Bolivia","male",27,"single",7,8
"Bolivia","male",18,"single",8,10
"Bolivia","female",20,"single",10,8
"Bolivia","female",40,"married",7,6
"Bolivia","female",24,"living together as married",4,9
"Bolivia","female",19,"single",5,2
"Bolivia","male",37,"married",6,7
"Bolivia","female",19,"living together as married",1,10
"Bolivia","female",26,"living together as married",6,7
"Bolivia","male",29,"living together as married",10,7
"Bolivia","male",41,"living together as married",5,6
"Bolivia","male",23,"living together as married",7,7
"Bolivia","male",19,"single",8,9
"Bolivia","female",18,"living together as married",5,7
"Bolivia","male",26,"living together as married",4,5
"Bolivia","male",34,"single",8,8
"Bolivia","male",26,"single",5,8
"Bolivia","male",21,"single",7,8
"Bolivia","female",43,"married",6,8
"Bolivia","female",59,"married",6,10
"Bolivia","female",18,"living together as married",10,9
"Bolivia","female",20,"single",6,10
"Bolivia","male",20,"single",6,6
"Bolivia","female",45,"living together as married",4,5
"Bolivia","female",63,"married",8,5
"Bolivia","female",21,"living together as married",10,7
"Bolivia","male",47,"living together as married",8,9
"Bolivia","male",45,"married",6,9
"Bolivia","male",46,"married",5,4
"Bolivia","male",36,"married",8,10
"Bolivia","female",32,"living together as married",5,5
"Bolivia","female",29,"single",6,8
"Bolivia","female",35,"single",10,7
"Bolivia","male",60,"married",7,6
"Bolivia","female",18,"single",7,8
"Bolivia","female",33,"married",10,9
"Bolivia","male",64,"living together as married",3,6
"Bolivia","female",48,"living together as married",9,9
"Bolivia","female",35,"living together as married",6,1
"Bolivia","female",56,"married",10,10
"Bolivia","male",20,"single",8,8
"Bolivia","male",59,"married",6,6
"Bolivia","male",34,"living together as married",6,8
"Bolivia","female",28,"living together as married",6,9
"Bolivia","female",18,"single",9,8
"Bolivia","female",55,"married",8,9
"Bolivia","male",20,"single",8,10
"Bolivia","female",40,"married",8,5
"Bolivia","female",19,"single",8,9
"Bolivia","female",31,"married",9,8
"Bolivia","female",34,"divorced",7,8
"Bolivia","male",74,"widowed",5,8
"Bolivia","female",34,"separated",10,10
"Bolivia","female",78,"widowed",5,10
"Bolivia","male",31,"married",8,3
"Bolivia","male",39,"living together as married",8,8
"Bolivia","male",34,"living together as married",5,7
"Bolivia","male",22,"single",10,9
"Bolivia","female",30,"single",9,10
"Bolivia","female",52,"widowed",10,10
"Bolivia","female",38,"married",10,10
"Bolivia","female",34,"married",5,6
"Bolivia","female",35,"living together as married",10,10
"Bolivia","female",38,"living together as married",8,6
"Bolivia","male",38,"living together as married",8,6
"Bolivia","male",51,"married",5,6
"Bolivia","male",25,"single",9,10
"Bolivia","male",41,"living together as married",8,5
"Bolivia","male",27,"single",7,7
"Bolivia","male",20,"single",10,6
"Bolivia","male",62,"married",9,10
"Bolivia","male",49,"married",7,6
"Bolivia","male",56,"married",10,10
"Bolivia","female",60,"married",5,5
"Bolivia","male",23,"single",3,10
"Bolivia","female",29,"living together as married",8,9
"Bolivia","female",26,"living together as married",5,10
"Bolivia","female",38,"married",10,10
"Bolivia","male",22,"single",8,8
"Bolivia","male",28,"living together as married",5,5
"Bolivia","female",71,"widowed",7,7
"Bolivia","male",47,"single",6,3
"Bolivia","female",59,"living together as married",7,7
"Bolivia","female",62,"married",10,6
"Bolivia","male",25,"single",10,9
"Bolivia","female",22,"married",7,7
"Bolivia","male",44,"living together as married",8,9
"Bolivia","female",34,"living together as married",6,5
"Bolivia","male",34,"married",8,8
"Bolivia","female",20,"single",7,8
"Bolivia","male",19,"single",8,7
"Bolivia","female",64,"married",6,7
"Bolivia","female",18,"single",8,8
"Bolivia","male",77,"separated",7,7
"Bolivia","male",42,"married",8,6
"Bolivia","male",42,"married",10,10
"Bolivia","male",55,"married",10,9
"Bolivia","female",33,"married",8,9
"Bolivia","female",69,"single",10,10
"Bolivia","female",32,"separated",8,7
"Bolivia","female",40,"single",5,5
"Bolivia","female",27,"single",8,10
"Bolivia","male",22,"single",8,7
"Bolivia","male",65,"married",5,6
"Bolivia","female",19,"single",9,9
"Bolivia","female",32,"married",6,6
"Bolivia","male",42,"married",7,8
"Bolivia","male",48,"married",6,5
"Bolivia","male",22,"single",8,7
"Bolivia","male",21,"living together as married",3,5
"Bolivia","female",45,"married",10,8
"Bolivia","male",18,"single",5,5
"Bolivia","female",23,"single",8,8
"Bolivia","female",18,"living together as married",7,8
"Bolivia","male",60,"married",10,10
"Bolivia","male",31,"married",7,8
"Bolivia","female",30,"married",8,10
"Bolivia","male",60,"married",7,7
"Bolivia","male",67,"married",4,5
"Bolivia","male",25,"single",9,8
"Bolivia","female",33,"living together as married",8,10
"Bolivia","female",55,"married",10,10
"Bolivia","female",26,"married",10,10
"Bolivia","female",37,"married",8,9
"Bolivia","male",63,"living together as married",10,5
"Bolivia","female",38,"living together as married",8,8
"Bolivia","female",25,"single",8,8
"Bolivia","female",42,"married",7,8
"Bolivia","female",55,"single",5,8
"Bolivia","female",36,"married",6,5
"Bolivia","female",48,"married",9,8
"Bolivia","female",36,"married",7,8
"Bolivia","male",22,"single",10,8
"Bolivia","male",34,"single",6,3
"Bolivia","male",55,"married",8,7
"Bolivia","female",19,"single",6,8
"Bolivia","male",25,"single",9,8
"Bolivia","male",19,"single",7,9
"Bolivia","female",39,"living together as married",6,7
"Bolivia","male",59,"married",8,8
"Bolivia","male",23,"living together as married",10,8
"Bolivia","female",44,"married",5,5
"Bolivia","female",45,"married",8,5
"Bolivia","female",41,"married",9,10
"Bolivia","male",73,"married",4,5
"Bolivia","female",25,"married",9,8
"Bolivia","male",32,"living together as married",8,8
"Bolivia","male",78,"married",10,10
"Bolivia","female",19,"single",5,8
"Bolivia","male",18,"single",5,8
