"gender","degree_level","min_reading"
"male","PGT",118
"male","PGT",191
"male","UG",403
"non-binary","UG",322
"male","PGR",513
"male","UG",380
"female","UG",318
"female","PGR",503
"female","UG",331
"non-binary","PGT",290
"female","PGT",248
"female","PGT",172
"male","UG",332
"female","PGT",336
"female","UG",388
"female","UG",374
"female","UG",288
"female","UG",325
"non-binary","UG",349
"male","UG",321
"male","PGT",259
"female","PGR",448
"non-binary","UG",310
"non-binary","PGR",614
"female","UG",318
"female","UG",273
"male","PGT",135
"male","PGR",451
"female","PGR",444
"female","UG",376
"female","UG",330
"female","UG",331
"female","UG",378
"male","UG",295
"female","PGR",494
"male","UG",303
"female","UG",433
"female","UG",338
"female","UG",345
"female","UG",283
"female","UG",350
"female","PGR",453
"female","PGR",428
"female","UG",342
"male","PGR",410
"male","UG",411
"female","UG",415
"male","PGT",246
"female","PGT",132
"male","UG",294
"male","PGR",438
"female","UG",381
"female","UG",281
"male","PGT",245
"male","UG",327
"female","UG",398
"non-binary","PGT",171
"male","UG",274
"female","UG",352
"male","PGR",552
"male","UG",267
"non-binary","UG",344
"male","PGR",500
"female","UG",374
"male","UG",341
"non-binary","UG",399
"female","UG",346
"female","UG",388
"male","UG",381
"female","PGT",258
"male","UG",304
"non-binary","UG",393
"male","PGR",443
"male","UG",375
"male","PGR",511
"female","UG",289
"male","UG",420
"female","UG",336
"male","PGR",431
"male","UG",480
"male","UG",358
"male","PGR",519
"male","PGR",437
"male","UG",321
"female","PGT",263
"male","UG",371
"male","UG",315
"female","PGR",421
"female","UG",430
"non-binary","UG",414
"female","PGT",199
"female","UG",363
"male","PGT",289
"male","UG",361
"female","UG",313
"male","PGR",558
"female","PGR",455
"male","PGR",525
"female","UG",327
"male","UG",363
"male","PGT",170
"male","PGT",195
"non-binary","PGR",491
"female","PGR",485
"male","PGT",306
"female","UG",304
"female","PGR",458
"male","PGR",469
"female","PGR",485
"male","PGR",456
"non-binary","UG",379
"female","UG",380
"female","UG",260
"male","PGR",438
"male","PGT",237
"female","PGT",256
"female","PGT",269
"female","UG",256
"male","PGR",388
"male","UG",350
"male","PGR",454
"female","PGR",486
"female","UG",323
"male","PGR",470
"male","PGR",457
"female","PGR",501
"male","UG",315
"male","UG",299
"female","UG",310
"male","PGR",533
"non-binary","PGR",494
"non-binary","UG",296
"female","UG",223
"male","UG",270
"male","UG",363
"female","UG",369
"male","UG",335
"male","PGR",460
"female","PGT",271
"non-binary","PGT",212
"non-binary","PGR",477
"female","PGT",134
"female","PGT",224
"non-binary","UG",294
"female","UG",338
"female","UG",380
"male","UG",266
"male","PGT",239
"male","PGR",500
"female","PGR",495
"male","UG",294
"male","PGT",285
"male","PGR",482
"female","PGR",505
"female","UG",331
"non-binary","PGR",435
"male","PGR",562
"female","PGR",457
"female","UG",282
"male","UG",366
"female","PGR",496
"male","UG",435
"non-binary","UG",274
"female","PGT",192
"female","PGR",462
"male","UG",315
"female","UG",379
"male","PGT",223
"male","UG",374
"male","PGR",501
"male","UG",342
"female","PGR",454
"non-binary","UG",413
"female","PGR",493
"female","UG",346
"female","UG",333
"female","UG",357
"female","PGR",449
"male","PGR",524
"female","UG",349
"female","PGR",415
"female","PGR",543
"male","UG",295
"male","PGR",448
"male","PGR",517
"female","PGT",112
"non-binary","UG",323
"female","PGT",189
"female","UG",197
"male","UG",343
"male","UG",341
"female","PGR",473
"male","UG",356
"male","PGT",242
"male","PGT",209
"male","PGR",385
"male","UG",316
"female","PGT",70
"female","PGT",210
"non-binary","PGT",246
"female","PGT",182
"female","UG",360
"male","UG",302
"female","PGR",369
"female","UG",355
"female","UG",364
"male","UG",377
"female","UG",315
"male","UG",388
"non-binary","UG",389
"male","PGR",441
"non-binary","UG",234
"male","PGR",453
"male","PGT",205
"male","UG",281
"non-binary","PGR",427
"male","PGT",296
"male","UG",342
"female","PGT",216
"male","PGT",292
"male","UG",387
"female","UG",399
"female","PGR",453
"female","UG",290
"male","UG",456
"female","PGT",145
"male","PGR",423
"male","PGR",481
"female","UG",397
"male","PGR",509
"female","UG",373
"female","PGR",488
"female","UG",294
"male","PGT",287
"female","PGR",463
"female","UG",450
"female","PGR",438
"non-binary","PGR",510
"female","UG",371
"female","PGT",198
"female","UG",400
"female","UG",352
"female","PGR",505
"male","PGR",446
"male","UG",380
"female","PGR",462
"female","PGT",158
"male","UG",279
"male","UG",401
"female","PGR",411
"male","PGT",219
"female","UG",289
"non-binary","PGR",503
"female","UG",352
"non-binary","PGT",196
"male","UG",405
"female","PGT",152
"male","UG",302
"female","PGT",234
"female","PGR",543
"male","UG",346
"female","PGT",256
"female","PGR",545
"male","UG",321
"male","PGR",417
"female","PGT",156
"female","PGT",186
"female","UG",320
"female","UG",273
"male","UG",385
"female","PGR",512
"female","PGT",216
"male","PGR",567
"female","PGT",310
"male","PGR",469
"male","PGT",244
"female","UG",307
"female","PGR",570
"female","UG",288
"female","UG",371
"male","PGR",510
"non-binary","UG",273
"female","PGR",509
"male","UG",431
"male","UG",388
"male","UG",427
"male","UG",335
"female","PGR",513
"male","PGR",560
"male","UG",380
"non-binary","PGR",489
"male","UG",327
"male","UG",375
"non-binary","UG",388
"male","PGT",237
"female","UG",393
"non-binary","UG",391
"male","UG",364
"female","UG",370
"female","PGR",466
"female","PGR",501
"female","UG",357
"female","PGR",574
"male","UG",317
"female","UG",313
"female","UG",310
"female","PGT",206
"female","UG",323
"female","UG",374
"female","UG",397
"male","PGR",527
"non-binary","PGT",192
"female","UG",409
"male","UG",362
"male","PGR",484
"female","UG",344
"male","PGR",512
"female","PGT",214
"female","PGT",261
"male","PGT",247
"female","PGR",495
"male","UG",413
"female","UG",295
"female","UG",355
"female","UG",341
"male","PGR",444
"male","PGT",194
"male","UG",404
"male","UG",322
"male","UG",340
"female","UG",322
"male","PGR",439
"female","PGT",232
"female","UG",278
"male","UG",370
"male","UG",242
"male","PGT",211
"female","PGR",440
"female","UG",353
"male","PGR",546
"male","UG",297
"female","UG",256
"male","UG",360
"female","PGR",461
"female","PGT",154
"female","UG",372
"male","PGT",242
"male","PGR",468
"female","PGT",267
"female","UG",426
"female","PGT",312
"male","UG",420
"female","UG",357
"female","UG",307
"female","UG",382
"female","UG",384
"female","UG",372
"male","UG",359
"male","UG",366
"non-binary","PGR",470
"male","UG",293
"male","UG",401
"male","PGT",306
"female","UG",364
"male","UG",303
"female","UG",380
"non-binary","UG",375
"non-binary","PGR",522
"female","UG",331
"non-binary","PGR",594
"male","PGT",203
"male","PGT",192
"male","PGR",458
"non-binary","UG",333
"female","PGR",443
"non-binary","PGR",420
"female","UG",360
"female","UG",328
"male","PGR",499
"male","PGR",508
"male","PGT",239
"female","PGR",492
"male","UG",306
"female","PGR",530
"male","UG",370
"female","PGT",215
"female","PGT",197
"male","UG",379
"male","UG",399
"female","PGR",507
"male","UG",359
"male","UG",361
"female","UG",321
"female","UG",299
"male","PGT",189
"female","UG",378
"female","UG",372
"male","PGT",243
"female","UG",363
"male","UG",398
"female","PGR",419
"female","PGT",138
"male","PGR",487
"female","UG",290
"female","PGR",592
"female","UG",442
"male","PGR",467
"female","UG",324
"male","PGT",226
"female","UG",288
"female","PGR",496
"male","UG",386
"female","PGR",473
"female","UG",313
"non-binary","PGR",500
"male","UG",402
"female","PGR",499
"male","UG",365
"female","UG",336
"male","PGR",545
"male","UG",340
"female","UG",332
"female","PGR",514
"male","PGR",465
"female","UG",373
"female","UG",428
"female","PGR",401
"male","UG",350
"male","UG",329
"female","PGT",295
"female","PGT",155
"female","UG",315
"female","PGR",430
"non-binary","UG",318
"male","UG",420
"non-binary","UG",328
"female","UG",302
"male","UG",340
"male","PGR",570
"female","UG",394
"female","PGR",464
"male","PGR",528
"female","PGR",436
"non-binary","PGT",254
"female","PGT",188
"male","UG",394
"female","PGT",266
"male","PGR",475
"female","PGR",431
"female","PGR",540
"female","UG",405
"male","UG",327
"female","PGR",473
"female","PGR",488
"male","PGT",325
"male","UG",396
"male","PGT",138
"male","PGR",517
"female","PGT",226
"male","PGR",575
"non-binary","UG",394
"male","PGT",233
"female","UG",305
"male","UG",368
"non-binary","PGR",498
"male","PGR",469
"non-binary","UG",303
"male","PGT",187
"male","UG",376
"male","UG",404
"female","PGT",269
"male","UG",307
"female","PGT",197
"female","PGT",205
"female","PGR",577
"male","UG",353
"female","PGT",258
"male","PGR",452
"non-binary","UG",420
"female","UG",329
"male","UG",433
"male","UG",375
"female","UG",352
"female","UG",261
"male","UG",283
"male","PGR",436
"female","UG",363
"female","PGR",532
"female","PGT",300
"male","PGR",455
"male","PGT",243
"male","PGR",527
"female","PGR",563
"male","PGR",400
"male","UG",380
"female","PGT",236
"non-binary","PGT",327
"non-binary","PGR",428
"female","UG",342
"female","UG",351
"male","PGT",173
"male","PGR",412
"non-binary","UG",351
"non-binary","PGR",406
"non-binary","UG",358
"male","UG",331
"male","UG",393
"female","PGT",246
"female","UG",337
"female","UG",349
"female","PGR",506
"male","PGR",457
"female","PGT",136
"male","UG",292
"male","PGT",192
"female","UG",295
"male","PGT",257
"male","PGR",537
"female","UG",331
"female","UG",333
"female","PGR",436
"female","PGR",456
"male","PGR",472
"non-binary","PGT",308
"female","PGR",464
"female","PGT",275
"male","UG",343
"male","UG",426
"female","UG",296
"male","UG",329
"female","PGT",244
"non-binary","PGR",528
"male","PGR",379
"female","PGR",573
"female","UG",321
"non-binary","PGR",469
"male","UG",274
"male","UG",347
"male","PGR",430
"female","UG",336
"male","UG",452
"male","PGR",450
"male","UG",420
"female","UG",297
"male","PGR",469
"female","UG",279
"male","PGT",163
"male","PGT",262
"male","PGR",491
"female","UG",306
"male","UG",414
"female","UG",419
"female","PGT",219
"male","PGR",420
"female","PGR",443
"male","PGT",172
"male","PGR",536
"male","PGT",276
"female","PGR",490
"female","UG",373
"female","PGR",480
"female","UG",240
"male","PGR",439
"non-binary","PGT",268
"female","UG",356
"female","UG",363
"male","UG",398
"non-binary","UG",384
"female","UG",380
"male","UG",354
"female","PGR",461
"female","PGR",464
"male","PGR",393
"male","PGR",551
"female","PGT",177
"non-binary","UG",346
"female","UG",358
"male","PGT",239
"male","PGT",240
"female","PGT",145
"female","UG",330
"male","UG",248
"non-binary","PGT",271
"non-binary","PGT",126
"female","PGT",142
"male","UG",385
"non-binary","PGT",273
"non-binary","UG",442
"female","UG",401
"female","UG",354
"non-binary","PGR",469
"female","PGT",189
"male","PGR",519
"female","UG",326
"male","UG",330
"female","UG",276
"male","PGR",495
"female","PGR",437
"male","PGT",153
"female","UG",355
"male","UG",372
"male","UG",320
"non-binary","PGR",565
"male","PGT",140
"female","PGR",459
"male","PGR",515
"female","PGR",480
"female","PGR",441
"male","UG",319
"male","UG",418
"non-binary","PGT",257
"male","PGT",224
"male","UG",426
"male","UG",335
"female","PGR",540
"female","UG",391
"male","UG",354
"non-binary","PGR",490
"male","PGT",298
"male","UG",403
"male","PGR",504
"male","UG",308
"male","PGT",222
"male","UG",301
"female","PGR",485
"male","PGR",454
"female","UG",385
"female","UG",423
"female","UG",359
"male","UG",353
"male","UG",358
"male","UG",462
"female","UG",381
"female","PGT",155
"female","UG",308
"non-binary","PGT",244
"male","PGT",162
"non-binary","UG",340
"male","PGR",466
"male","UG",373
"female","UG",461
"male","UG",289
"male","PGR",474
"male","PGT",232
"male","UG",346
"female","UG",405
"male","PGT",285
"male","PGR",384
"female","PGR",508
"female","PGR",480
"female","PGR",466
"male","PGR",417
"male","UG",318
"female","PGT",187
"female","PGR",435
"non-binary","UG",448
"female","PGR",485
"male","UG",276
"female","PGR",575
"female","UG",334
"male","UG",363
"male","PGR",445
"male","PGR",410
"male","PGR",480
"female","PGR",440
"non-binary","UG",329
"male","UG",350
"male","UG",340
"female","UG",325
"female","PGT",250
"male","UG",327
"male","PGT",185
"male","PGR",447
"male","UG",379
"female","PGR",373
"female","UG",370
"male","UG",367
"male","UG",385
"male","UG",321
"female","PGR",522
"male","UG",279
"non-binary","UG",351
"female","PGR",472
"male","PGR",423
"male","UG",266
"male","PGT",154
"female","PGT",246
