"Participant ID","Country name","Gender","Age","relationship_status","Freedom.of.Choice","Satisfaction-with-life"
68070126,"Bolivia, Plurinational State of",1,21,"living together as married",10,9
68070127,"Bolivia, Plurinational State of",1,44,"single",6,5
68070128,"Bolivia, Plurinational State of",1,40,"married",8,8
68070129,"Bolivia, Plurinational State of",1,49,"married",5,4
68070130,"Bolivia, Plurinational State of",0,48,"single",8,6
68070131,"Bolivia, Plurinational State of",1,43,"married",8,9
68070132,"Bolivia, Plurinational State of",1,21,"single",6,8
68070133,"Bolivia, Plurinational State of",1,48,"widowed",8,9
68070134,"Bolivia, Plurinational State of",1,49,"married",7,5
68070135,"Bolivia, Plurinational State of",0,70,"married",7,8
68070136,"Bolivia, Plurinational State of",1,26,"married",6,8
68070137,"Bolivia, Plurinational State of",0,30,"living together as married",8,9
68070138,"Bolivia, Plurinational State of",0,27,"living together as married",7,9
68070139,"Bolivia, Plurinational State of",0,40,"married",6,8
68070140,"Bolivia, Plurinational State of",0,37,"married",8,8
68070141,"Bolivia, Plurinational State of",1,37,"living together as married",9,8
68070142,"Bolivia, Plurinational State of",1,22,"living together as married",5,4
68070143,"Bolivia, Plurinational State of",0,24,"single",7,8
68070144,"Bolivia, Plurinational State of",1,37,"married",7,8
68070145,"Bolivia, Plurinational State of",0,38,"living together as married",6,8
68070146,"Bolivia, Plurinational State of",1,43,"widowed",5,5
68070147,"Bolivia, Plurinational State of",1,32,"living together as married",9,9
68070148,"Bolivia, Plurinational State of",0,22,"single",9,5
68070149,"Bolivia, Plurinational State of",0,18,"single",7,9
68070150,"Bolivia, Plurinational State of",0,58,"married",8,8
68070151,"Bolivia, Plurinational State of",1,32,"living together as married",10,6
68070152,"Bolivia, Plurinational State of",0,37,"living together as married",10,8
68070153,"Bolivia, Plurinational State of",0,21,"single",8,8
68070154,"Bolivia, Plurinational State of",1,56,"separated",10,4
68070155,"Bolivia, Plurinational State of",0,45,"living together as married",6,7
68070156,"Bolivia, Plurinational State of",0,32,"living together as married",9,9
68070157,"Bolivia, Plurinational State of",1,27,"single",3,6
68070158,"Bolivia, Plurinational State of",1,18,"single",6,8
68070159,"Bolivia, Plurinational State of",1,56,"married",9,10
68070160,"Bolivia, Plurinational State of",0,48,"living together as married",6,9
68070161,"Bolivia, Plurinational State of",0,62,"married",10,10
68070162,"Bolivia, Plurinational State of",1,18,"living together as married",9,9
68070163,"Bolivia, Plurinational State of",0,47,"married",7,7
68070164,"Bolivia, Plurinational State of",1,30,"living together as married",9,8
68070165,"Bolivia, Plurinational State of",1,71,"living together as married",4,4
68070166,"Bolivia, Plurinational State of",1,60,"single",8,8
68070167,"Bolivia, Plurinational State of",1,53,"divorced",5,5
68070168,"Bolivia, Plurinational State of",0,56,"widowed",7,10
68070169,"Bolivia, Plurinational State of",1,40,"separated",9,7
68070170,"Bolivia, Plurinational State of",1,55,"separated",8,9
68070171,"Bolivia, Plurinational State of",1,37,"married",10,10
68070172,"Bolivia, Plurinational State of",0,28,"single",8,9
68070173,"Bolivia, Plurinational State of",1,30,"single",10,6
68070174,"Bolivia, Plurinational State of",0,70,"married",10,10
68070175,"Bolivia, Plurinational State of",0,53,"divorced",5,5
68070176,"Bolivia, Plurinational State of",0,60,"married",6,5
68070177,"Bolivia, Plurinational State of",0,37,"single",9,9
68070178,"Bolivia, Plurinational State of",0,18,"single",5,4
68070179,"Bolivia, Plurinational State of",1,45,"living together as married",10,6
68070180,"Bolivia, Plurinational State of",1,32,"single",9,8
68070181,"Bolivia, Plurinational State of",0,46,"married",8,6
68070182,"Bolivia, Plurinational State of",0,37,"separated",4,5
68070183,"Bolivia, Plurinational State of",0,39,"married",7,7
68070184,"Bolivia, Plurinational State of",1,23,"single",6,7
68070185,"Bolivia, Plurinational State of",0,41,"single",6,7
68070186,"Bolivia, Plurinational State of",1,45,"married",8,8
68070187,"Bolivia, Plurinational State of",0,20,"single",6,8
68070188,"Bolivia, Plurinational State of",0,27,"single",8,8
68070189,"Bolivia, Plurinational State of",0,21,"single",7,10
68070190,"Bolivia, Plurinational State of",1,41,"living together as married",8,9
68070191,"Bolivia, Plurinational State of",1,20,"single",9,7
68070192,"Bolivia, Plurinational State of",1,76,"widowed",NA,10
68070193,"Bolivia, Plurinational State of",0,46,"living together as married",7,8
68070194,"Bolivia, Plurinational State of",1,33,"separated",6,5
68070195,"Bolivia, Plurinational State of",1,43,"separated",5,8
68070196,"Bolivia, Plurinational State of",1,47,"married",9,4
68070197,"Bolivia, Plurinational State of",1,20,"single",10,10
68070198,"Bolivia, Plurinational State of",0,18,"single",10,7
68070199,"Bolivia, Plurinational State of",0,49,"married",5,5
68070200,"Bolivia, Plurinational State of",0,40,"living together as married",NA,9
68070201,"Bolivia, Plurinational State of",0,30,"married",10,10
68070202,"Bolivia, Plurinational State of",0,24,"single",10,10
68070203,"Bolivia, Plurinational State of",1,74,"widowed",6,6
68070204,"Bolivia, Plurinational State of",0,28,"married",7,9
68070205,"Bolivia, Plurinational State of",1,18,"single",5,4
68070206,"Bolivia, Plurinational State of",1,33,"married",10,9
68070207,"Bolivia, Plurinational State of",0,28,"living together as married",8,9
68070208,"Bolivia, Plurinational State of",0,20,"single",6,7
68070209,"Bolivia, Plurinational State of",0,54,"married",7,9
68070210,"Bolivia, Plurinational State of",0,62,"married",8,9
68070211,"Bolivia, Plurinational State of",0,28,"single",10,8
68070212,"Bolivia, Plurinational State of",0,43,"single",8,3
68070213,"Bolivia, Plurinational State of",0,59,"married",8,8
68070214,"Bolivia, Plurinational State of",1,61,"divorced",8,6
68070215,"Bolivia, Plurinational State of",0,50,"divorced",5,5
68070216,"Bolivia, Plurinational State of",1,18,"single",6,7
68070217,"Bolivia, Plurinational State of",0,19,"single",10,9
68070218,"Bolivia, Plurinational State of",0,38,"married",1,10
68070219,"Bolivia, Plurinational State of",0,52,"divorced",4,2
68070220,"Bolivia, Plurinational State of",1,60,"single",10,10
68070221,"Bolivia, Plurinational State of",1,25,"married",9,9
68070222,"Bolivia, Plurinational State of",1,50,"married",5,5
68070223,"Bolivia, Plurinational State of",1,29,"married",9,9
68070224,"Bolivia, Plurinational State of",0,66,"married",7,5
68070225,"Bolivia, Plurinational State of",0,38,"married",9,7
68070226,"Bolivia, Plurinational State of",0,29,"living together as married",7,9
68070227,"Bolivia, Plurinational State of",1,26,"married",9,9
68070228,"Bolivia, Plurinational State of",1,58,"single",9,8
68070229,"Bolivia, Plurinational State of",1,63,"married",4,10
68070230,"Bolivia, Plurinational State of",0,29,"single",7,5
68070231,"Bolivia, Plurinational State of",1,18,"single",7,5
68070232,"Bolivia, Plurinational State of",0,24,"married",7,8
68070233,"Bolivia, Plurinational State of",1,52,"separated",1,1
68070234,"Bolivia, Plurinational State of",0,54,"married",8,8
68070235,"Bolivia, Plurinational State of",1,27,"single",10,8
68070236,"Bolivia, Plurinational State of",1,41,"married",9,10
68070237,"Bolivia, Plurinational State of",1,21,"living together as married",10,10
68070238,"Bolivia, Plurinational State of",1,22,"living together as married",5,8
68070239,"Bolivia, Plurinational State of",0,29,"single",10,8
68070240,"Bolivia, Plurinational State of",1,35,"living together as married",7,10
68070241,"Bolivia, Plurinational State of",1,83,"widowed",9,4
68070242,"Bolivia, Plurinational State of",1,30,"married",NA,10
68070243,"Bolivia, Plurinational State of",1,57,"married",7,6
68070244,"Bolivia, Plurinational State of",0,41,"living together as married",9,9
68070245,"Bolivia, Plurinational State of",0,20,"living together as married",8,10
68070246,"Bolivia, Plurinational State of",0,21,"single",10,10
68070247,"Bolivia, Plurinational State of",0,62,"divorced",3,5
68070248,"Bolivia, Plurinational State of",0,46,"married",8,7
68070249,"Bolivia, Plurinational State of",0,25,"living together as married",6,8
68070250,"Bolivia, Plurinational State of",1,47,"married",7,7
68070251,"Bolivia, Plurinational State of",0,30,"divorced",5,6
68070252,"Bolivia, Plurinational State of",0,24,"separated",8,8
68070253,"Bolivia, Plurinational State of",0,26,"living together as married",8,5
68070254,"Bolivia, Plurinational State of",1,45,"married",8,8
68070255,"Bolivia, Plurinational State of",1,47,"widowed",6,NA
68070256,"Bolivia, Plurinational State of",1,41,"married",10,8
68070257,"Bolivia, Plurinational State of",0,29,"single",10,10
68070258,"Bolivia, Plurinational State of",0,60,"married",8,6
68070259,"Bolivia, Plurinational State of",0,55,"married",5,8
68070260,"Bolivia, Plurinational State of",1,76,"widowed",NA,5
68070261,"Bolivia, Plurinational State of",0,34,"married",10,7
68070262,"Bolivia, Plurinational State of",1,65,"widowed",7,9
68070263,"Bolivia, Plurinational State of",1,20,"single",9,9
68070264,"Bolivia, Plurinational State of",1,61,"married",4,8
68070265,"Bolivia, Plurinational State of",1,80,"single",8,5
68070266,"Bolivia, Plurinational State of",0,19,"single",9,8
68070267,"Bolivia, Plurinational State of",0,40,"separated",7,7
68070268,"Bolivia, Plurinational State of",1,62,"divorced",10,10
68070269,"Bolivia, Plurinational State of",1,40,"married",8,9
68070270,"Bolivia, Plurinational State of",1,79,"married",8,8
68070271,"Bolivia, Plurinational State of",1,42,"married",5,4
68070272,"Bolivia, Plurinational State of",1,82,"widowed",8,8
68070273,"Bolivia, Plurinational State of",1,20,"single",5,5
68070274,"Bolivia, Plurinational State of",1,49,"widowed",8,3
68070275,"Bolivia, Plurinational State of",1,30,"divorced",7,9
68070276,"Bolivia, Plurinational State of",1,30,"separated",10,9
68070277,"Bolivia, Plurinational State of",0,46,"separated",8,7
68070278,"Bolivia, Plurinational State of",1,26,"single",3,7
68070279,"Bolivia, Plurinational State of",0,56,"living together as married",5,7
68070280,"Bolivia, Plurinational State of",1,33,"living together as married",10,4
68070281,"Bolivia, Plurinational State of",1,47,"living together as married",8,7
68070282,"Bolivia, Plurinational State of",1,19,"separated",8,9
68070283,"Bolivia, Plurinational State of",0,38,"separated",7,10
68070284,"Bolivia, Plurinational State of",1,36,"single",4,4
68070285,"Bolivia, Plurinational State of",0,48,"married",8,8
68070286,"Bolivia, Plurinational State of",0,31,"single",2,8
68070287,"Bolivia, Plurinational State of",0,23,"living together as married",8,9
68070288,"Bolivia, Plurinational State of",1,31,"living together as married",8,10
68070289,"Bolivia, Plurinational State of",0,62,"living together as married",10,5
68070290,"Bolivia, Plurinational State of",0,76,"married",8,7
68070291,"Bolivia, Plurinational State of",0,35,"married",6,6
68070292,"Bolivia, Plurinational State of",1,26,"living together as married",6,8
68070293,"Bolivia, Plurinational State of",1,42,"married",9,10
68070294,"Bolivia, Plurinational State of",1,79,"widowed",4,6
68070295,"Bolivia, Plurinational State of",1,29,"married",8,9
68070296,"Bolivia, Plurinational State of",1,32,"single",5,6
68070297,"Bolivia, Plurinational State of",0,31,"living together as married",10,8
68070298,"Bolivia, Plurinational State of",0,52,"widowed",10,3
68070299,"Bolivia, Plurinational State of",1,57,"widowed",9,8
68070300,"Bolivia, Plurinational State of",0,30,"living together as married",8,8
68070301,"Bolivia, Plurinational State of",1,27,"single",8,9
68070302,"Bolivia, Plurinational State of",1,32,"separated",10,7
68070303,"Bolivia, Plurinational State of",1,29,"divorced",9,7
68070304,"Bolivia, Plurinational State of",1,25,"married",9,10
68070305,"Bolivia, Plurinational State of",1,31,NA,NA,NA
68070306,"Bolivia, Plurinational State of",1,28,"married",8,8
68070307,"Bolivia, Plurinational State of",1,18,"single",4,7
68070308,"Bolivia, Plurinational State of",1,22,"single",8,10
68070309,"Bolivia, Plurinational State of",0,25,"single",8,10
68070310,"Bolivia, Plurinational State of",1,28,"married",8,8
68070311,"Bolivia, Plurinational State of",0,18,"single",7,8
68070312,"Bolivia, Plurinational State of",1,32,"separated",10,10
68070313,"Bolivia, Plurinational State of",1,36,"married",9,1
68070314,"Bolivia, Plurinational State of",1,28,"living together as married",9,10
68070315,"Bolivia, Plurinational State of",1,54,"living together as married",5,5
68070316,"Bolivia, Plurinational State of",0,36,"single",8,5
68070317,"Bolivia, Plurinational State of",0,40,"married",10,10
68070318,"Bolivia, Plurinational State of",1,38,"married",10,10
68070319,"Bolivia, Plurinational State of",1,31,"married",8,9
68070320,"Bolivia, Plurinational State of",1,46,"living together as married",7,8
68070321,"Bolivia, Plurinational State of",1,42,"married",7,5
68070322,"Bolivia, Plurinational State of",1,26,"single",7,5
68070323,"Bolivia, Plurinational State of",1,19,"single",10,3
68070324,"Bolivia, Plurinational State of",0,28,"living together as married",6,10
68070325,"Bolivia, Plurinational State of",1,21,"living together as married",5,7
68070326,"Bolivia, Plurinational State of",0,64,"married",7,9
68070327,"Bolivia, Plurinational State of",1,40,"married",9,9
68070328,"Bolivia, Plurinational State of",0,29,"living together as married",8,10
68070329,"Bolivia, Plurinational State of",0,36,"living together as married",6,5
68070330,"Bolivia, Plurinational State of",1,32,"single",8,8
68070331,"Bolivia, Plurinational State of",1,74,"single",7,9
68070332,"Bolivia, Plurinational State of",0,51,"married",6,8
68070333,"Bolivia, Plurinational State of",0,49,"married",8,7
68070334,"Bolivia, Plurinational State of",1,43,"living together as married",5,5
68070335,"Bolivia, Plurinational State of",0,67,"married",6,10
68070336,"Bolivia, Plurinational State of",1,61,"married",8,4
68070337,"Bolivia, Plurinational State of",0,23,"single",10,10
68070338,"Bolivia, Plurinational State of",0,54,"married",NA,6
68070339,"Bolivia, Plurinational State of",1,66,"separated",7,7
68070340,"Bolivia, Plurinational State of",1,23,"single",8,9
68070341,"Bolivia, Plurinational State of",0,19,"single",6,9
68070342,"Bolivia, Plurinational State of",0,44,"single",8,6
68070343,"Bolivia, Plurinational State of",1,29,"living together as married",10,10
68070344,"Bolivia, Plurinational State of",1,50,"married",5,7
68070345,"Bolivia, Plurinational State of",0,52,"married",10,9
68070346,"Bolivia, Plurinational State of",1,34,"married",7,8
68070347,"Bolivia, Plurinational State of",1,35,"single",7,8
68070348,"Bolivia, Plurinational State of",1,47,"married",6,10
68070349,"Bolivia, Plurinational State of",0,58,"married",6,6
68070350,"Bolivia, Plurinational State of",0,65,"widowed",5,7
68070351,"Bolivia, Plurinational State of",0,62,"married",5,8
68070352,"Bolivia, Plurinational State of",1,24,"single",5,4
68070353,"Bolivia, Plurinational State of",0,25,"married",8,8
68070354,"Bolivia, Plurinational State of",1,60,"married",8,8
68070355,"Bolivia, Plurinational State of",0,19,"living together as married",8,6
68070356,"Bolivia, Plurinational State of",1,40,"widowed",6,9
68070357,"Bolivia, Plurinational State of",0,20,"single",10,9
68070358,"Bolivia, Plurinational State of",0,24,"single",5,6
68070359,"Bolivia, Plurinational State of",0,54,"separated",4,4
68070360,"Bolivia, Plurinational State of",0,50,"single",6,10
68070361,"Bolivia, Plurinational State of",1,60,"married",NA,5
68070362,"Bolivia, Plurinational State of",0,22,"single",10,7
68070363,"Bolivia, Plurinational State of",0,60,"married",8,8
68070364,"Bolivia, Plurinational State of",1,30,"single",9,8
68070365,"Bolivia, Plurinational State of",0,57,"married",8,7
68070366,"Bolivia, Plurinational State of",0,39,"married",8,9
68070367,"Bolivia, Plurinational State of",1,27,"single",9,7
68070368,"Bolivia, Plurinational State of",1,41,"living together as married",7,6
68070369,"Bolivia, Plurinational State of",0,62,"married",8,6
68070370,"Bolivia, Plurinational State of",0,26,"single",10,10
68070371,"Bolivia, Plurinational State of",0,37,"living together as married",10,10
68070372,"Bolivia, Plurinational State of",0,18,"single",7,9
68070373,"Bolivia, Plurinational State of",1,18,"single",9,10
68070374,"Bolivia, Plurinational State of",0,32,"living together as married",8,8
68070375,"Bolivia, Plurinational State of",0,46,"married",10,10
68070376,"Bolivia, Plurinational State of",0,31,"single",2,5
68070377,"Bolivia, Plurinational State of",0,22,"married",8,8
68070378,"Bolivia, Plurinational State of",1,65,"widowed",2,10
68070379,"Bolivia, Plurinational State of",1,22,"living together as married",10,10
68070380,"Bolivia, Plurinational State of",1,20,"single",7,6
68070381,"Bolivia, Plurinational State of",0,33,"living together as married",8,8
68070382,"Bolivia, Plurinational State of",0,52,"divorced",1,1
68070383,"Bolivia, Plurinational State of",0,25,"single",6,5
68070384,"Bolivia, Plurinational State of",1,19,"single",5,6
68070385,"Bolivia, Plurinational State of",1,53,"married",NA,5
68070386,"Bolivia, Plurinational State of",1,29,"living together as married",6,5
68070387,"Bolivia, Plurinational State of",0,27,"single",5,6
68070388,"Bolivia, Plurinational State of",1,29,"married",7,7
68070389,"Bolivia, Plurinational State of",0,25,"living together as married",7,7
68070390,"Bolivia, Plurinational State of",0,75,"widowed",5,6
68070391,"Bolivia, Plurinational State of",1,48,"married",NA,8
68070392,"Bolivia, Plurinational State of",0,62,"married",8,8
68070393,"Bolivia, Plurinational State of",1,27,"living together as married",8,8
68070394,"Bolivia, Plurinational State of",0,19,"single",8,9
68070395,"Bolivia, Plurinational State of",0,22,"single",6,9
68070396,"Bolivia, Plurinational State of",1,30,"married",5,10
68070397,"Bolivia, Plurinational State of",0,40,"married",5,9
68070398,"Bolivia, Plurinational State of",0,34,"single",9,6
68070399,"Bolivia, Plurinational State of",0,59,"married",10,10
68070400,"Bolivia, Plurinational State of",0,67,"married",5,10
68070401,"Bolivia, Plurinational State of",1,27,"single",5,7
68070402,"Bolivia, Plurinational State of",0,33,"divorced",10,6
68070403,"Bolivia, Plurinational State of",0,50,"separated",5,5
68070404,"Bolivia, Plurinational State of",0,35,"single",7,8
68070405,"Bolivia, Plurinational State of",0,45,"married",6,7
68070406,"Bolivia, Plurinational State of",0,29,"single",8,10
68070407,"Bolivia, Plurinational State of",1,23,"single",10,9
68070408,"Bolivia, Plurinational State of",1,30,"single",10,10
68070409,"Bolivia, Plurinational State of",1,40,"single",10,10
68070410,"Bolivia, Plurinational State of",1,47,"married",6,8
68070411,"Bolivia, Plurinational State of",1,67,"widowed",8,9
68070412,"Bolivia, Plurinational State of",1,27,"living together as married",6,7
68070413,"Bolivia, Plurinational State of",1,31,"living together as married",7,2
68070414,"Bolivia, Plurinational State of",1,33,"living together as married",10,10
68070415,"Bolivia, Plurinational State of",1,40,"married",1,1
68070416,"Bolivia, Plurinational State of",1,55,"single",10,7
68070417,"Bolivia, Plurinational State of",0,18,"single",5,7
68070418,"Bolivia, Plurinational State of",0,20,"single",8,9
68070419,"Bolivia, Plurinational State of",0,37,"married",8,9
68070420,"Bolivia, Plurinational State of",0,22,"single",5,8
68070421,"Bolivia, Plurinational State of",1,27,"single",8,8
68070422,"Bolivia, Plurinational State of",1,33,"married",10,10
68070423,"Bolivia, Plurinational State of",0,25,"single",8,8
68070424,"Bolivia, Plurinational State of",1,21,"married",8,6
68070425,"Bolivia, Plurinational State of",1,65,"living together as married",4,4
68070426,"Bolivia, Plurinational State of",1,46,"divorced",5,3
68070427,"Bolivia, Plurinational State of",0,61,"single",10,10
68070428,"Bolivia, Plurinational State of",1,55,"divorced",10,10
68070429,"Bolivia, Plurinational State of",0,18,"single",8,9
68070430,"Bolivia, Plurinational State of",1,38,"married",6,7
68070431,"Bolivia, Plurinational State of",0,36,"living together as married",8,2
68070432,"Bolivia, Plurinational State of",0,47,"married",8,7
68070433,"Bolivia, Plurinational State of",0,42,"married",10,10
68070434,"Bolivia, Plurinational State of",0,48,"living together as married",10,9
68070435,"Bolivia, Plurinational State of",0,43,"living together as married",7,8
68070436,"Bolivia, Plurinational State of",1,34,"married",8,5
68070437,"Bolivia, Plurinational State of",0,28,"living together as married",8,8
68070438,"Bolivia, Plurinational State of",1,28,"living together as married",6,6
68070439,"Bolivia, Plurinational State of",0,51,"married",7,7
68070440,"Bolivia, Plurinational State of",1,24,"single",7,7
68070441,"Bolivia, Plurinational State of",0,68,"married",10,6
68070442,"Bolivia, Plurinational State of",0,58,"married",9,9
68070443,"Bolivia, Plurinational State of",0,18,"single",6,7
68070444,"Bolivia, Plurinational State of",1,29,"married",10,10
68070445,"Bolivia, Plurinational State of",1,21,"living together as married",7,9
68070446,"Bolivia, Plurinational State of",1,52,"living together as married",5,5
68070447,"Bolivia, Plurinational State of",0,36,"married",8,8
68070448,"Bolivia, Plurinational State of",0,45,"separated",10,7
68070449,"Bolivia, Plurinational State of",1,28,"married",10,8
68070450,"Bolivia, Plurinational State of",1,63,"widowed",10,10
