"performance","happiness","group"
-0.004,-0.416,"Teacher"
0.135,-0.201,"Teacher"
0.179,-0.171,"Teacher"
0.227,-0.077,"Teacher"
0.197,-0.199,"Teacher"
0.404,-0.208,"Student"
0.296,-0.23,"Student"
0.232,-0.371,"Student"
0.241,-0.337,"Student"
0.165,-0.339,"Student"
0.385,-0.23,"Student"
0.314,-0.105,"Student"
0.457,-0.195,"Student"
0.265,-0.433,"Student"
0.398,-0.143,"Student"
0.222,-0.466,"Student"
0.442,-0.216,"Student"
0.439,-0.136,"Student"
0.456,-0.225,"Student"
0.247,-0.234,"Student"
0.234,-0.384,"Student"
0.212,-0.342,"Student"
0.246,-0.309,"Student"
0.24,-0.363,"Student"
0.328,-0.209,"Student"
0.469,-0.185,"Student"
0.466,-0.259,"Student"
0.428,-0.125,"Student"
0.363,-0.211,"Student"
0.277,-0.322,"Student"
0.328,-0.166,"Student"
0.275,-0.291,"Student"
0.336,-0.259,"Student"
0.158,-0.345,"Student"
0.286,-0.364,"Student"
0.356,-0.223,"Student"
0.227,-0.417,"Student"
0.324,-0.21,"Student"
0.324,-0.219,"Student"
0.327,-0.386,"Student"
0.031,-0.507,"Student"
0.235,-0.319,"Student"
0.298,-0.252,"Student"
0.097,-0.517,"Student"
0.371,-0.226,"Student"
0.293,-0.249,"Student"
0.257,-0.33,"Student"
0.328,-0.438,"Student"
0.378,-0.234,"Student"
0.399,-0.427,"Student"
0.295,-0.331,"Student"
0.349,-0.169,"Student"
0.128,-0.417,"Student"
0.268,-0.298,"Student"
0.37,-0.266,"Student"
0.281,-0.322,"Student"
0.273,-0.218,"Student"
0.216,-0.346,"Student"
0.333,-0.409,"Student"
0.285,-0.223,"Student"
0.395,-0.113,"Student"
0.321,-0.185,"Student"
0.277,-0.327,"Student"
0.398,-0.243,"Student"
0.323,-0.319,"Student"
0.591,-0.197,"Student"
0.248,-0.41,"Student"
0.248,-0.417,"Student"
0.367,-0.264,"Student"
0.281,-0.407,"Student"
0.369,-0.17,"Student"
0.349,-0.275,"Student"
0.264,-0.485,"Student"
0.213,-0.398,"Student"
0.281,-0.332,"Student"
0.392,-0.268,"Student"
0.433,-0.271,"Student"
0.192,-0.315,"Student"
0.454,-0.164,"Student"
0.342,-0.314,"Student"
0.218,-0.441,"Student"
0.023,-0.444,"Student"
0.463,-0.202,"Student"
0.254,-0.152,"Student"
0.199,-0.453,"Student"
0.512,-0.208,"Student"
0.309,-0.337,"Student"
0.349,-0.412,"Student"
0.287,-0.324,"Student"
0.23,-0.217,"Student"
0.462,-0.304,"Student"
0.245,-0.256,"Student"
0.18,-0.446,"Student"
0.304,-0.243,"Student"
0.363,-0.147,"Student"
0.237,-0.364,"Student"
0.161,-0.291,"Student"
0.107,-0.396,"Student"
0.242,-0.499,"Student"
0.216,-0.319,"Student"
0.188,-0.423,"Student"
0.276,-0.343,"Student"
0.302,-0.34,"Student"
0.17,-0.419,"Student"
0.31,-0.193,"Student"
0.414,-0.464,"Parent"
0.321,-0.509,"Parent"
0.423,-0.364,"Parent"
0.407,-0.364,"Parent"
0.456,-0.391,"Parent"
0.543,-0.412,"Parent"
0.369,-0.396,"Parent"
0.329,-0.505,"Parent"
0.584,-0.321,"Parent"
0.534,-0.35,"Parent"
0.378,-0.59,"Parent"
0.364,-0.36,"Parent"
0.453,-0.466,"Parent"
0.43,-0.48,"Parent"
0.498,-0.342,"Parent"
0.544,-0.365,"Parent"
0.471,-0.346,"Parent"
0.419,-0.524,"Parent"
0.651,-0.228,"Parent"
0.488,-0.376,"Parent"
0.349,-0.606,"Parent"
0.477,-0.401,"Parent"
0.639,-0.339,"Parent"
0.532,-0.422,"Parent"
0.651,-0.286,"Parent"
0.251,-0.655,"Parent"
0.484,-0.487,"Parent"
0.524,-0.385,"Parent"
0.393,-0.378,"Parent"
0.289,-0.701,"Parent"
0.524,-0.44,"Parent"
0.484,-0.529,"Parent"
0.592,-0.357,"Parent"
0.565,-0.323,"Parent"
0.353,-0.545,"Parent"
0.321,-0.605,"Parent"
0.391,-0.412,"Parent"
0.277,-0.562,"Parent"
0.299,-0.476,"Parent"
0.275,-0.646,"Parent"
0.362,-0.62,"Parent"
0.344,-0.509,"Parent"
0.368,-0.406,"Parent"
0.426,-0.614,"Parent"
0.337,-0.568,"Parent"
0.351,-0.497,"Parent"
0.378,-0.603,"Parent"
0.436,-0.39,"Parent"
0.429,-0.489,"Parent"
0.597,-0.328,"Parent"
0.437,-0.542,"Parent"
0.237,-0.58,"Parent"
0.333,-0.491,"Parent"
0.465,-0.452,"Parent"
0.373,-0.375,"Parent"
0.502,-0.487,"Parent"
0.286,-0.485,"Parent"
0.43,-0.415,"Parent"
0.547,-0.415,"Parent"
0.414,-0.466,"Parent"
0.307,-0.596,"Parent"
0.484,-0.368,"Parent"
0.57,-0.481,"Parent"
0.48,-0.475,"Parent"
0.437,-0.266,"Parent"
0.344,-0.353,"Parent"
0.578,-0.337,"Parent"
0.45,-0.476,"Parent"
0.551,-0.427,"Parent"
0.367,-0.431,"Parent"
0.462,-0.622,"Parent"
0.356,-0.543,"Parent"
0.564,-0.295,"Parent"
0.491,-0.47,"Parent"
0.458,-0.395,"Parent"
0.523,-0.529,"Parent"
0.396,-0.447,"Parent"
0.508,-0.433,"Parent"
0.461,-0.345,"Parent"
0.604,-0.354,"Parent"
0.386,-0.46,"Parent"
0.582,-0.425,"Parent"
0.439,-0.482,"Parent"
0.643,-0.414,"Parent"
0.426,-0.405,"Parent"
0.392,-0.416,"Parent"
0.452,-0.466,"Parent"
0.607,-0.24,"Parent"
0.345,-0.545,"Parent"
0.445,-0.467,"Parent"
0.421,-0.582,"Parent"
0.558,-0.297,"Parent"
0.393,-0.551,"Parent"
0.424,-0.623,"Parent"
0.677,-0.313,"Parent"
0.481,-0.533,"Parent"
0.585,-0.462,"Parent"
0.507,-0.37,"Parent"
0.517,-0.477,"Parent"
0.538,-0.387,"Parent"
