"Participant.ID","Country.name","Gender","Age","relationship_status","Freedom.of.Choice","Satisfaction.with.life"
364071043,"Iran, Islamic Republic of",1,58,"married",5,6
364071044,"Iran, Islamic Republic of",0,67,"married",9,8
364071045,"Iran, Islamic Republic of",0,18,"single",5,7
364071046,"Iran, Islamic Republic of",1,54,"married",8,9
364071047,"Iran, Islamic Republic of",0,21,"single",5,3
364071048,"Iran, Islamic Republic of",0,54,"married",10,1
364071050,"Iran, Islamic Republic of",1,47,"widowed",5,3
364071051,"Iran, Islamic Republic of",1,58,"married",8,7
364071052,"Iran, Islamic Republic of",1,40,"married",7,6
364071053,"Iran, Islamic Republic of",0,48,"married",6,10
364071054,"Iran, Islamic Republic of",0,45,"married",10,7
364071055,"Iran, Islamic Republic of",1,36,"divorced",9,9
364071056,"Iran, Islamic Republic of",1,48,"married",7,8
364071057,"Iran, Islamic Republic of",0,20,"single",8,5
364071058,"Iran, Islamic Republic of",1,37,"married",10,8
364071059,"Iran, Islamic Republic of",0,44,"married",5,8
364071060,"Iran, Islamic Republic of",1,19,"married",10,10
364071061,"Iran, Islamic Republic of",1,49,"single",7,6
364071062,"Iran, Islamic Republic of",1,39,"married",1,1
364071063,"Iran, Islamic Republic of",1,34,"divorced",5,7
364071064,"Iran, Islamic Republic of",1,70,"divorced",10,5
364071065,"Iran, Islamic Republic of",0,45,"married",5,2
364071066,"Iran, Islamic Republic of",1,36,"married",5,6
364071067,"Iran, Islamic Republic of",0,63,"married",8,8
364071069,"Iran, Islamic Republic of",0,61,"married",10,7
364071073,"Iran, Islamic Republic of",0,48,"married",5,6
364071074,"Iran, Islamic Republic of",0,52,"married",6,3
364071075,"Iran, Islamic Republic of",1,19,"single",5,7
364071076,"Iran, Islamic Republic of",0,26,"single",8,5
364071077,"Iran, Islamic Republic of",1,36,"married",8,9
364071078,"Iran, Islamic Republic of",0,35,"married",6,7
364071079,"Iran, Islamic Republic of",0,67,"married",5,5
364071080,"Iran, Islamic Republic of",0,18,"single",8,7
364071081,"Iran, Islamic Republic of",0,40,"married",8,8
364071084,"Iran, Islamic Republic of",0,27,"single",2,10
364071085,"Iran, Islamic Republic of",1,51,"married",10,4
364071086,"Iran, Islamic Republic of",0,40,"married",10,8
364071087,"Iran, Islamic Republic of",0,42,"married",10,5
364071090,"Iran, Islamic Republic of",1,58,"married",10,6
364071091,"Iran, Islamic Republic of",0,53,"married",8,6
364071093,"Iran, Islamic Republic of",1,43,"married",1,5
364071094,"Iran, Islamic Republic of",1,39,"married",9,8
364071095,"Iran, Islamic Republic of",0,22,"single",9,8
364071096,"Iran, Islamic Republic of",0,61,"married",5,5
364071097,"Iran, Islamic Republic of",1,31,"married",10,10
364071098,"Iran, Islamic Republic of",0,35,"living together as married",1,1
364071099,"Iran, Islamic Republic of",0,56,"married",5,6
364071100,"Iran, Islamic Republic of",1,19,"single",8,5
364071101,"Iran, Islamic Republic of",1,63,"married",9,5
364071102,"Iran, Islamic Republic of",1,39,"married",10,5
364071103,"Iran, Islamic Republic of",1,36,"single",7,5
364071104,"Iran, Islamic Republic of",1,37,"married",2,8
364071105,"Iran, Islamic Republic of",0,33,"married",10,1
364071106,"Iran, Islamic Republic of",1,33,"married",10,6
364071107,"Iran, Islamic Republic of",1,60,"widowed",10,1
364071110,"Iran, Islamic Republic of",1,51,"divorced",2,1
364071111,"Iran, Islamic Republic of",0,48,"married",6,7
364071112,"Iran, Islamic Republic of",1,28,"married",8,7
364071113,"Iran, Islamic Republic of",1,28,"single",9,10
364071114,"Iran, Islamic Republic of",1,26,"divorced",1,2
364071115,"Iran, Islamic Republic of",1,40,"married",8,5
364071118,"Iran, Islamic Republic of",0,26,"single",5,6
364071119,"Iran, Islamic Republic of",0,46,"married",7,7
364071120,"Iran, Islamic Republic of",1,41,"married",8,6
364071121,"Iran, Islamic Republic of",0,21,"single",5,10
364071122,"Iran, Islamic Republic of",0,49,"married",6,5
364071123,"Iran, Islamic Republic of",1,41,"married",6,5
364071124,"Iran, Islamic Republic of",1,38,"married",4,1
364071126,"Iran, Islamic Republic of",0,44,"married",10,3
364071127,"Iran, Islamic Republic of",0,41,"married",1,1
364071128,"Iran, Islamic Republic of",0,41,"married",9,9
364071129,"Iran, Islamic Republic of",0,54,"married",5,5
364071131,"Iran, Islamic Republic of",0,24,"single",7,10
364071132,"Iran, Islamic Republic of",0,69,"married",10,10
364071133,"Iran, Islamic Republic of",0,47,"married",8,5
364071134,"Iran, Islamic Republic of",1,34,"married",5,2
364071135,"Iran, Islamic Republic of",0,60,"married",5,8
364071137,"Iran, Islamic Republic of",0,23,"single",8,10
364071138,"Iran, Islamic Republic of",0,52,"married",5,6
364071139,"Iran, Islamic Republic of",1,68,"widowed",5,8
364071141,"Iran, Islamic Republic of",1,27,"married",8,6
364071142,"Iran, Islamic Republic of",0,67,"married",10,4
364071143,"Iran, Islamic Republic of",1,60,"married",5,5
364071144,"Iran, Islamic Republic of",0,30,"married",7,6
364071145,"Iran, Islamic Republic of",1,55,"widowed",5,6
364071146,"Iran, Islamic Republic of",0,22,"single",5,8
364071147,"Iran, Islamic Republic of",0,36,"married",8,7
364071148,"Iran, Islamic Republic of",1,58,"married",5,7
364071149,"Iran, Islamic Republic of",1,38,"single",5,6
364071150,"Iran, Islamic Republic of",1,33,"married",8,9
364071151,"Iran, Islamic Republic of",1,37,"married",8,9
364071152,"Iran, Islamic Republic of",1,49,"married",5,3
364071153,"Iran, Islamic Republic of",0,39,"married",9,8
364071154,"Iran, Islamic Republic of",0,50,"married",2,4
364071155,"Iran, Islamic Republic of",1,39,"married",5,5
364071156,"Iran, Islamic Republic of",1,41,"married",5,2
364071157,"Iran, Islamic Republic of",0,23,"single",5,5
364071158,"Iran, Islamic Republic of",0,41,"married",5,4
364071159,"Iran, Islamic Republic of",1,33,"single",8,7
364071160,"Iran, Islamic Republic of",1,23,"married",10,6
364071161,"Iran, Islamic Republic of",0,64,"married",8,5
364071162,"Iran, Islamic Republic of",1,53,"married",3,1
364071163,"Iran, Islamic Republic of",0,41,"married",8,5
364071164,"Iran, Islamic Republic of",0,36,"married",10,8
364071165,"Iran, Islamic Republic of",0,70,"married",5,1
364071167,"Iran, Islamic Republic of",0,50,"married",9,6
364071168,"Iran, Islamic Republic of",0,40,"married",10,5
364071169,"Iran, Islamic Republic of",0,70,"married",8,7
364071171,"Iran, Islamic Republic of",0,37,"married",8,9
364071172,"Iran, Islamic Republic of",0,46,"married",10,10
364071174,"Iran, Islamic Republic of",0,37,"married",10,4
364071175,"Iran, Islamic Republic of",1,36,"married",7,5
364071176,"Iran, Islamic Republic of",1,67,"married",10,9
364071177,"Iran, Islamic Republic of",1,32,"single",8,7
364071178,"Iran, Islamic Republic of",0,28,"single",4,3
364071179,"Iran, Islamic Republic of",1,56,"widowed",7,5
364071182,"Iran, Islamic Republic of",0,46,"married",5,6
364071183,"Iran, Islamic Republic of",1,49,"married",7,7
364071184,"Iran, Islamic Republic of",1,33,"married",5,7
364071185,"Iran, Islamic Republic of",1,51,"widowed",8,1
364071186,"Iran, Islamic Republic of",1,20,"single",4,1
364071187,"Iran, Islamic Republic of",1,35,"single",7,9
364071189,"Iran, Islamic Republic of",0,20,"single",8,8
364071191,"Iran, Islamic Republic of",0,44,"married",5,8
364071192,"Iran, Islamic Republic of",0,39,"married",10,10
364071193,"Iran, Islamic Republic of",1,20,"single",7,8
364071194,"Iran, Islamic Republic of",0,55,"married",10,6
364071195,"Iran, Islamic Republic of",0,48,"married",10,9
364071198,"Iran, Islamic Republic of",1,27,"married",5,7
364071199,"Iran, Islamic Republic of",1,28,"single",9,8
364071202,"Iran, Islamic Republic of",1,54,"married",2,9
364071203,"Iran, Islamic Republic of",0,37,"married",10,10
364071204,"Iran, Islamic Republic of",0,39,"married",1,6
364071209,"Iran, Islamic Republic of",0,23,"single",8,7
364071210,"Iran, Islamic Republic of",0,26,"single",5,5
364071211,"Iran, Islamic Republic of",1,63,"married",1,10
364071212,"Iran, Islamic Republic of",1,41,"married",8,9
364071213,"Iran, Islamic Republic of",0,30,"married",8,10
364071214,"Iran, Islamic Republic of",0,50,"married",6,5
364071215,"Iran, Islamic Republic of",1,34,"married",8,5
364071217,"Iran, Islamic Republic of",0,52,"married",8,10
364071218,"Iran, Islamic Republic of",0,18,"single",8,5
364071219,"Iran, Islamic Republic of",0,18,"single",5,5
364071220,"Iran, Islamic Republic of",1,20,"single",8,10
364071221,"Iran, Islamic Republic of",0,45,"married",8,5
364071222,"Iran, Islamic Republic of",1,19,"single",6,7
364071223,"Iran, Islamic Republic of",1,57,"married",10,8
364071224,"Iran, Islamic Republic of",1,45,"married",10,5
364071225,"Iran, Islamic Republic of",0,32,"separated",5,6
364071226,"Iran, Islamic Republic of",0,24,"single",10,4
364071227,"Iran, Islamic Republic of",0,21,"single",7,10
364071228,"Iran, Islamic Republic of",1,46,"married",8,9
364071229,"Iran, Islamic Republic of",1,65,"married",8,7
364071230,"Iran, Islamic Republic of",1,25,"single",10,1
364071231,"Iran, Islamic Republic of",1,23,"married",5,7
364071232,"Iran, Islamic Republic of",0,80,"married",10,1
364071233,"Iran, Islamic Republic of",1,19,"single",5,10
364071234,"Iran, Islamic Republic of",0,43,"single",3,1
364071235,"Iran, Islamic Republic of",1,38,"married",8,4
364071236,"Iran, Islamic Republic of",1,33,"married",10,8
364071237,"Iran, Islamic Republic of",0,25,"single",3,7
364071238,"Iran, Islamic Republic of",0,40,"married",4,1
364071239,"Iran, Islamic Republic of",0,32,"single",4,5
364071240,"Iran, Islamic Republic of",0,26,"single",5,8
364071241,"Iran, Islamic Republic of",0,28,"single",10,10
364071242,"Iran, Islamic Republic of",1,33,"married",8,7
364071243,"Iran, Islamic Republic of",1,49,"married",5,8
364071244,"Iran, Islamic Republic of",1,35,"married",9,3
364071245,"Iran, Islamic Republic of",0,21,"single",8,1
364071246,"Iran, Islamic Republic of",0,18,"single",10,10
364071247,"Iran, Islamic Republic of",1,34,"married",10,8
364071248,"Iran, Islamic Republic of",0,40,"married",8,6
364071249,"Iran, Islamic Republic of",1,48,"single",5,5
364071251,"Iran, Islamic Republic of",1,41,"married",8,10
364071252,"Iran, Islamic Republic of",1,73,"widowed",5,6
364071253,"Iran, Islamic Republic of",0,65,"married",10,8
364071255,"Iran, Islamic Republic of",0,18,"single",6,1
364071256,"Iran, Islamic Republic of",1,21,"married",4,3
364071259,"Iran, Islamic Republic of",1,38,"married",10,6
364071262,"Iran, Islamic Republic of",0,43,"married",8,8
364071263,"Iran, Islamic Republic of",0,28,"single",8,7
364071264,"Iran, Islamic Republic of",0,40,"married",10,5
364071266,"Iran, Islamic Republic of",1,35,"married",5,7
364071267,"Iran, Islamic Republic of",1,27,"married",5,4
364071268,"Iran, Islamic Republic of",0,43,"married",1,1
364071270,"Iran, Islamic Republic of",0,31,"married",10,6
364071272,"Iran, Islamic Republic of",0,25,"single",7,6
364071273,"Iran, Islamic Republic of",0,38,"married",8,1
364071274,"Iran, Islamic Republic of",1,18,"single",5,6
364071275,"Iran, Islamic Republic of",1,29,"married",7,9
364071277,"Iran, Islamic Republic of",0,35,"married",8,7
364071280,"Iran, Islamic Republic of",1,32,"married",5,10
364071281,"Iran, Islamic Republic of",0,56,"married",10,9
364071282,"Iran, Islamic Republic of",1,18,"single",5,5
364071286,"Iran, Islamic Republic of",1,34,"married",8,6
364071287,"Iran, Islamic Republic of",1,49,"married",8,6
364071288,"Iran, Islamic Republic of",0,75,"married",8,1
364071290,"Iran, Islamic Republic of",1,39,"married",5,7
364071291,"Iran, Islamic Republic of",1,41,"single",5,5
364071292,"Iran, Islamic Republic of",1,35,"divorced",10,4
364071293,"Iran, Islamic Republic of",0,21,"married",1,7
364071294,"Iran, Islamic Republic of",0,18,"single",5,5
364071295,"Iran, Islamic Republic of",1,53,"married",5,10
364071296,"Iran, Islamic Republic of",0,20,"single",10,5
364071297,"Iran, Islamic Republic of",0,42,"married",8,7
364071298,"Iran, Islamic Republic of",1,19,"married",10,10
364071299,"Iran, Islamic Republic of",1,63,"widowed",10,6
364071300,"Iran, Islamic Republic of",1,27,"married",8,8
364071301,"Iran, Islamic Republic of",0,55,"married",4,3
364071305,"Iran, Islamic Republic of",1,18,"married",6,3
364071306,"Iran, Islamic Republic of",0,34,"single",8,8
364071307,"Iran, Islamic Republic of",0,32,"married",8,9
364071308,"Iran, Islamic Republic of",0,67,"married",10,10
364071309,"Iran, Islamic Republic of",1,29,"single",10,8
364071311,"Iran, Islamic Republic of",1,40,"married",8,10
364071312,"Iran, Islamic Republic of",0,43,"married",5,10
364071313,"Iran, Islamic Republic of",1,60,"single",7,5
364071314,"Iran, Islamic Republic of",1,39,"married",6,1
364071315,"Iran, Islamic Republic of",0,34,"married",1,3
364071316,"Iran, Islamic Republic of",1,37,"married",5,8
364071317,"Iran, Islamic Republic of",1,48,"married",8,5
364071318,"Iran, Islamic Republic of",0,36,"married",10,7
364071319,"Iran, Islamic Republic of",0,64,"married",NA,7
364071320,"Iran, Islamic Republic of",1,35,"married",10,6
364071321,"Iran, Islamic Republic of",1,18,"single",8,6
364071322,"Iran, Islamic Republic of",1,20,"married",5,5
364071323,"Iran, Islamic Republic of",0,28,"single",8,1
364071324,"Iran, Islamic Republic of",1,41,"married",5,7
364071328,"Iran, Islamic Republic of",0,23,"single",8,8
364071329,"Iran, Islamic Republic of",0,48,"married",8,10
364071330,"Iran, Islamic Republic of",0,33,"married",3,4
364071331,"Iran, Islamic Republic of",1,27,"single",10,8
364071332,"Iran, Islamic Republic of",0,73,"married",7,8
364071334,"Iran, Islamic Republic of",0,58,"married",8,8
364071336,"Iran, Islamic Republic of",1,23,"married",6,6
364071337,"Iran, Islamic Republic of",1,19,"single",10,5
364071339,"Iran, Islamic Republic of",1,34,"married",5,8
364071340,"Iran, Islamic Republic of",1,78,"widowed",9,9
364071341,"Iran, Islamic Republic of",1,34,"married",7,6
364071342,"Iran, Islamic Republic of",1,37,"married",7,7
364071343,"Iran, Islamic Republic of",0,34,"divorced",10,5
364071345,"Iran, Islamic Republic of",1,47,"widowed",10,6
364071346,"Iran, Islamic Republic of",1,34,"married",10,8
364071347,"Iran, Islamic Republic of",1,49,"married",10,10
364071348,"Iran, Islamic Republic of",0,19,"single",8,9
364071349,"Iran, Islamic Republic of",1,34,"married",5,9
364071350,"Iran, Islamic Republic of",1,23,"married",7,2
364071351,"Iran, Islamic Republic of",1,99,"single",8,6
364071352,"Iran, Islamic Republic of",1,52,"married",10,10
364071354,"Iran, Islamic Republic of",0,32,"single",5,7
364071355,"Iran, Islamic Republic of",0,60,"single",5,10
364071356,"Iran, Islamic Republic of",0,63,"married",1,7
364071357,"Iran, Islamic Republic of",1,18,"single",7,10
364071358,"Iran, Islamic Republic of",1,20,"single",7,8
364071360,"Iran, Islamic Republic of",1,39,"separated",10,10
364071361,"Iran, Islamic Republic of",0,63,"married",7,4
364071362,"Iran, Islamic Republic of",1,39,"married",7,5
364071363,"Iran, Islamic Republic of",1,18,"single",5,10
364071366,"Iran, Islamic Republic of",0,32,"married",5,3
364071367,"Iran, Islamic Republic of",1,20,"single",9,8
364071368,"Iran, Islamic Republic of",1,39,"married",10,3
364071369,"Iran, Islamic Republic of",0,67,"married",10,4
364071370,"Iran, Islamic Republic of",0,38,"married",5,3
364071371,"Iran, Islamic Republic of",0,45,"married",8,7
364071372,"Iran, Islamic Republic of",0,25,"single",4,1
364071373,"Iran, Islamic Republic of",1,29,"married",5,5
364071374,"Iran, Islamic Republic of",0,70,"married",4,2
364071375,"Iran, Islamic Republic of",1,49,"married",7,10
364071376,"Iran, Islamic Republic of",0,27,"single",1,3
364071377,"Iran, Islamic Republic of",1,37,"married",10,5
364071378,"Iran, Islamic Republic of",1,56,"married",5,9
364071379,"Iran, Islamic Republic of",0,49,"married",7,8
364071380,"Iran, Islamic Republic of",1,18,"single",8,8
364071381,"Iran, Islamic Republic of",1,21,"single",8,5
364071382,"Iran, Islamic Republic of",1,42,"married",5,6
364071383,"Iran, Islamic Republic of",0,53,"married",8,1
364071384,"Iran, Islamic Republic of",0,40,"married",10,7
364071385,"Iran, Islamic Republic of",0,66,"married",10,7
364071386,"Iran, Islamic Republic of",1,30,"single",4,8
364071387,"Iran, Islamic Republic of",1,45,"married",5,5
364071388,"Iran, Islamic Republic of",0,50,"married",5,5
364071390,"Iran, Islamic Republic of",0,39,"married",5,9
364071391,"Iran, Islamic Republic of",0,51,"married",6,8
364071392,"Iran, Islamic Republic of",1,38,"married",9,6
364071393,"Iran, Islamic Republic of",0,19,"single",10,8
364071394,"Iran, Islamic Republic of",0,21,"single",8,5
364071395,"Iran, Islamic Republic of",1,18,"single",8,8
364071397,"Iran, Islamic Republic of",0,18,"single",5,9
364071398,"Iran, Islamic Republic of",0,24,"separated",10,1
364071399,"Iran, Islamic Republic of",1,24,"single",3,9
364071400,"Iran, Islamic Republic of",1,33,"single",5,9
364071401,"Iran, Islamic Republic of",0,48,"married",3,5
364071402,"Iran, Islamic Republic of",1,38,"married",7,9
364071403,"Iran, Islamic Republic of",1,19,"single",6,8
364071404,"Iran, Islamic Republic of",0,45,"married",10,5
364071405,"Iran, Islamic Republic of",0,37,"married",7,9
364071406,"Iran, Islamic Republic of",1,22,"single",8,10
364071410,"Iran, Islamic Republic of",1,28,"single",8,8
364071411,"Iran, Islamic Republic of",1,21,"single",8,7
364071412,"Iran, Islamic Republic of",1,36,"married",10,10
364071414,"Iran, Islamic Republic of",1,35,"married",8,5
364071415,"Iran, Islamic Republic of",1,19,"single",5,5
364071416,"Iran, Islamic Republic of",1,37,"married",6,7
364071417,"Iran, Islamic Republic of",0,50,"married",4,8
364071418,"Iran, Islamic Republic of",0,49,"married",6,6
364071421,"Iran, Islamic Republic of",1,46,"married",8,8
364071422,"Iran, Islamic Republic of",1,22,"single",5,8
364071423,"Iran, Islamic Republic of",0,26,"married",8,5
364071425,"Iran, Islamic Republic of",1,30,"married",7,8
364071427,"Iran, Islamic Republic of",0,59,"married",7,5
364071429,"Iran, Islamic Republic of",1,47,"married",6,8
364071430,"Iran, Islamic Republic of",0,33,"married",10,6
364071431,"Iran, Islamic Republic of",1,73,"widowed",10,6
364071432,"Iran, Islamic Republic of",1,35,"single",8,8
364071433,"Iran, Islamic Republic of",0,19,"single",10,10
364071435,"Iran, Islamic Republic of",1,18,"single",1,7
364071436,"Iran, Islamic Republic of",1,99,"widowed",8,8
364071438,"Iran, Islamic Republic of",0,46,"married",8,9
364071439,"Iran, Islamic Republic of",1,37,"married",5,8
364071440,"Iran, Islamic Republic of",0,20,"single",10,7
364071441,"Iran, Islamic Republic of",1,33,"married",7,7
364071442,"Iran, Islamic Republic of",1,31,"single",5,7
364071443,"Iran, Islamic Republic of",0,38,"married",8,7
364071444,"Iran, Islamic Republic of",0,33,"married",8,8
364071445,"Iran, Islamic Republic of",1,52,"married",8,10
364071447,"Iran, Islamic Republic of",1,27,"married",7,7
364071450,"Iran, Islamic Republic of",0,32,"married",10,8
364071452,"Iran, Islamic Republic of",0,39,"married",5,7
364071454,"Iran, Islamic Republic of",1,67,"married",10,5
364071455,"Iran, Islamic Republic of",1,36,"single",10,10
364071456,"Iran, Islamic Republic of",1,99,"single",9,10
364071457,"Iran, Islamic Republic of",0,47,"married",5,6
364071458,"Iran, Islamic Republic of",1,18,"single",5,9
364071459,"Iran, Islamic Republic of",0,65,"married",10,10
364071460,"Iran, Islamic Republic of",0,39,"married",8,3
364071462,"Iran, Islamic Republic of",0,44,"married",8,5
364071465,"Iran, Islamic Republic of",1,19,"single",8,7
364071466,"Iran, Islamic Republic of",0,56,"married",5,3
364071467,"Iran, Islamic Republic of",1,57,"married",10,6
364071468,"Iran, Islamic Republic of",1,41,"married",9,8
364071469,"Iran, Islamic Republic of",1,55,"married",8,3
364071470,"Iran, Islamic Republic of",1,59,"single",8,7
364071471,"Iran, Islamic Republic of",0,22,"single",8,7
364071472,"Iran, Islamic Republic of",1,22,"married",1,1
364071473,"Iran, Islamic Republic of",0,63,"married",10,10
364071474,"Iran, Islamic Republic of",0,18,"single",7,6
364071475,"Iran, Islamic Republic of",1,19,"single",6,1
364071476,"Iran, Islamic Republic of",0,20,"single",7,10
364071477,"Iran, Islamic Republic of",1,34,"divorced",10,8
364071478,"Iran, Islamic Republic of",0,53,"married",10,6
364071479,"Iran, Islamic Republic of",0,56,"married",8,7
364071480,"Iran, Islamic Republic of",0,35,"married",5,8
364071481,"Iran, Islamic Republic of",0,70,"married",5,6
364071482,"Iran, Islamic Republic of",1,74,"widowed",10,6
364071484,"Iran, Islamic Republic of",1,74,"widowed",10,4
364071485,"Iran, Islamic Republic of",1,36,"married",8,6
364071486,"Iran, Islamic Republic of",0,34,"married",7,3
364071487,"Iran, Islamic Republic of",1,31,"married",9,7
364071488,"Iran, Islamic Republic of",1,63,"widowed",10,10
364071489,"Iran, Islamic Republic of",1,48,"married",5,7
364071491,"Iran, Islamic Republic of",0,75,"married",6,6
364071492,"Iran, Islamic Republic of",0,29,"married",5,8
364071493,"Iran, Islamic Republic of",0,40,"married",5,1
364071494,"Iran, Islamic Republic of",1,33,"married",5,9
364071495,"Iran, Islamic Republic of",1,19,"single",1,5
364071496,"Iran, Islamic Republic of",1,26,"single",8,6
364071497,"Iran, Islamic Republic of",1,29,"married",3,5
364071498,"Iran, Islamic Republic of",1,19,"single",9,10
364071499,"Iran, Islamic Republic of",1,38,"married",5,6
364071500,"Iran, Islamic Republic of",0,18,"single",5,10
364071501,"Iran, Islamic Republic of",0,42,"married",8,1
364071502,"Iran, Islamic Republic of",1,48,"divorced",10,3
364071503,"Iran, Islamic Republic of",0,20,"single",5,10
364071505,"Iran, Islamic Republic of",0,30,"single",6,6
364071506,"Iran, Islamic Republic of",0,46,"married",2,5
364071508,"Iran, Islamic Republic of",0,25,"single",8,8
364071510,"Iran, Islamic Republic of",0,81,"married",1,1
364071511,"Iran, Islamic Republic of",0,53,"married",5,1
364071512,"Iran, Islamic Republic of",0,33,"married",10,6
364071513,"Iran, Islamic Republic of",0,20,"single",10,5
364071514,"Iran, Islamic Republic of",0,47,"married",1,7
364071516,"Iran, Islamic Republic of",1,32,"married",6,8
364071517,"Iran, Islamic Republic of",0,51,"married",8,8
364071518,"Iran, Islamic Republic of",1,59,"married",10,5
364071519,"Iran, Islamic Republic of",1,48,"married",5,1
364071520,"Iran, Islamic Republic of",1,19,"single",9,8
364071522,"Iran, Islamic Republic of",0,52,"married",5,7
364071526,"Iran, Islamic Republic of",1,38,"married",5,8
364071527,"Iran, Islamic Republic of",0,41,"married",6,1
364071528,"Iran, Islamic Republic of",0,41,"married",7,4
364071529,"Iran, Islamic Republic of",1,39,"married",10,7
364071530,"Iran, Islamic Republic of",1,32,"married",10,5
364071532,"Iran, Islamic Republic of",1,39,"married",9,10
364071534,"Iran, Islamic Republic of",0,40,"married",5,10
364071535,"Iran, Islamic Republic of",0,20,"single",10,8
364071536,"Iran, Islamic Republic of",0,28,"single",10,5
364071537,"Iran, Islamic Republic of",0,44,"married",1,5
364071538,"Iran, Islamic Republic of",0,38,"single",5,2
364071539,"Iran, Islamic Republic of",1,24,"married",8,6
364071540,"Iran, Islamic Republic of",1,37,"married",6,3
364071541,"Iran, Islamic Republic of",0,32,"married",7,10
364071542,"Iran, Islamic Republic of",0,18,"single",7,7
364071544,"Iran, Islamic Republic of",1,18,"single",10,5
364071546,"Iran, Islamic Republic of",0,33,"married",1,5
364071548,"Iran, Islamic Republic of",1,39,"married",8,6
364071549,"Iran, Islamic Republic of",0,35,"married",4,7
364071550,"Iran, Islamic Republic of",1,46,"married",10,6
364071552,"Iran, Islamic Republic of",0,21,"single",5,3
364071556,"Iran, Islamic Republic of",0,28,"single",10,9
364071557,"Iran, Islamic Republic of",1,26,"single",8,5
364071558,"Iran, Islamic Republic of",0,40,"married",5,7
364071560,"Iran, Islamic Republic of",1,19,"single",10,8
364071561,"Iran, Islamic Republic of",0,39,"married",10,10
364071562,"Iran, Islamic Republic of",1,30,"single",10,6
364071563,"Iran, Islamic Republic of",0,34,"single",5,8
364071564,"Iran, Islamic Republic of",0,40,"married",10,8
364071565,"Iran, Islamic Republic of",0,29,"single",10,10
364071566,"Iran, Islamic Republic of",0,45,"married",5,3
364071569,"Iran, Islamic Republic of",1,39,"married",5,5
364071570,"Iran, Islamic Republic of",0,42,"married",7,7
364071571,"Iran, Islamic Republic of",0,39,"married",7,1
364071572,"Iran, Islamic Republic of",1,39,"married",5,1
364071573,"Iran, Islamic Republic of",1,24,"married",9,7
364071574,"Iran, Islamic Republic of",1,20,"single",10,7
364071575,"Iran, Islamic Republic of",1,72,"widowed",8,8
364071578,"Iran, Islamic Republic of",0,39,"divorced",6,3
364071579,"Iran, Islamic Republic of",1,21,"single",7,3
364071580,"Iran, Islamic Republic of",1,20,"single",8,9
364071581,"Iran, Islamic Republic of",0,60,"married",7,6
364071582,"Iran, Islamic Republic of",1,21,"married",8,8
364071583,"Iran, Islamic Republic of",1,39,"divorced",7,7
364071585,"Iran, Islamic Republic of",0,27,"single",7,6
364071587,"Iran, Islamic Republic of",1,40,"married",5,1
364071588,"Iran, Islamic Republic of",1,46,"married",7,10
364071589,"Iran, Islamic Republic of",0,40,"married",1,2
364071590,"Iran, Islamic Republic of",1,67,"widowed",8,5
364071592,"Iran, Islamic Republic of",1,59,"widowed",10,1
364071593,"Iran, Islamic Republic of",1,27,"single",5,1
364071594,"Iran, Islamic Republic of",1,36,"single",5,5
364071595,"Iran, Islamic Republic of",0,29,"single",5,9
